"substance";"product";"SCI-Grow";"Reference.SCI-Grow";"Load.Factor.SCI";"BCF";"Reference.BCF";"Load.Factor.BCF";"SoilDT50";"Reference.SoilDT50";"Load.Factor.SoilDT50";"Birds.Acute.LD50.mg.kg";"Reference.Value.Birds";"Load.Factor.Birds";"Mammals.Acute.Oral.LD50.mg.kg.BW.day";"Reference.Value.Mammals";"Load.Factor.Mammals";"Fish.Acute.96hr.LC50.mg.l";"Reference.Value.Fish";"Load.Factor.Fish";"Aquatic.Invertebrates.Acute.48hr.EC50.mg.l";"Reference.Value.Aquatic.Invertebrates";"Load.Factor.Aquatic.Invertebrates";"Algae.Acute.72hr.EC50.Growth.mg.l";"Reference.Value.Algae";"Load.Factor.Algae";"Aquatic.Plants.Acute.7d.EC50.mg.l";"Reference.Value.Aquatic.Plants";"Load.Factor.Aquatic.Plants";"Earthworms.Acute.14d.LC50.mg.kg";"Reference.Value.Earthworms";"Load.Factor.Earthworms";"BeesLD50";"Reference.Value.Bees";"Load.Factor.Bees";"Fish.Chronic.21d.NOEC.mg.l.corrected";"Reference.Value.Fish.Chronic";"Load.Factor.Fish.Chronic";"water.phase.DT50.days";"Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted";"Reference.Value.Aquatic.Invertebrates.Chronic";"Load.Factor.Aquatic.Invertebrates.Chronic";"Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected";"Reference.Value.Earthworms.Chronic";"Load.Factor.Earthworms.Chronic";"concentration"
"Isoxadifen-ethyl";"30280 12";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;1750;8;1;0,34;0,00021;30;0,51;0,00015;30;1,26;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;3e-04
"Foramsulfuron";"30280 2";0,233062831652634;12,5;20;0;5100;2,5;25,35;354;2,5;2000;10;1;5000;8;1;100;0,00021;30;100;0,00015;30;75;2e-05;3;0,00065;0,00035;3;453;1;2;105,05;0,015;100;100;0,00015;3;25,2;100;0,00015;3;3,24;0,8;2;0,3
"Iodosulfuron-methyl-Natrium";"30280 2";0,00223898569199923;12,5;20;0;5100;2,5;2,7;354;2,5;2000;10;1;2448;8;1;100;0,00021;30;100;0,00015;30;0,07;2e-05;3;0,00083;0,00035;3;1000;1;2;115;0,015;100;10;0,00015;3;16;10;0,00015;3;0;0,8;2;0,01
"Isoxadifen-ethyl";"30280 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;1750;8;1;0,34;0,00021;30;0,51;0,00015;30;1,26;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,3
"Flufenacet";"30281 1";0,0998971558907828;12,5;20;71,4;5100;2,5;36;354;2,5;1608;10;1;598;8;1;2,13;0,00021;30;30,9;0,00015;30;0,00204;2e-05;3;0,002;0,00035;3;219;1;2;170;0,015;100;0,2;0,00015;3;54;3,26;0,00015;3;4;0,8;2;0,06
"Pendimethalin";"30281 1";0,00535307472937412;12,5;20;5100;5100;2,5;182,3;354;2,5;1421;10;1;4665;8;1;0,196;0,00021;30;0,147;0,00015;30;0,004;2e-05;3;0,022;0,00035;3;1000;1;2;100,6;0,015;100;0,006;0,00015;3;4;0,0145;0,00015;3;33,45;0,8;2;0,3
"Bensultap";"30282 2";0,00765295578717839;12,5;20;100;5100;2,5;7;354;2,5;311;10;1;1105;8;1;0,76;0,00021;30;20;0,00015;30;1;2e-05;3;0;0,00035;3;30;1;2;25,9;0,015;100;0;0,00015;3;2;0;0,00015;3;0;0,8;2;0,05
"Captan";"30283 2";0,000298859482915096;12,5;20;140;5100;2,5;0,8;354;2,5;2000;10;1;2000;8;1;0,186;0,00021;30;7,1;0,00015;30;1,18;2e-05;3;12,7;0,00035;3;519;1;2;150;0,015;100;0,18;0,00015;3;0,6;0,56;0,00015;3;12,2;0,8;2;0,8
"Mancozeb";"30284 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,8
"Maneb";"30285 2";2,12050744806236e-06;12,5;20;0;5100;2,5;0,55;354;2,5;1467;10;1;5000;8;1;0,2;0,00021;30;0,0021;0,00015;30;0,007;2e-05;3;0;0,00035;3;840;1;2;94,75;0,015;100;0,0065;0,00015;3;0,35;0,0023;0,00015;3;8;0,8;2;0,8
"Fluazinam";"30286 1";0,0315111918363101;12,5;20;1025;5100;2,5;41,75;354;2,5;1782;10;1;4100;8;1;0,055;0,00021;30;0,22;0,00015;30;0,16;2e-05;3;53,6;0,00035;3;500;1;2;150;0,015;100;0,012;0,00015;3;2,7;0,0125;0,00015;3;0,48;0,8;2;0,5
"Carbosulfan";"30287 1";0,0189870025254291;12,5;20;990;5100;2,5;25,1;354;2,5;10;10;1;101;8;1;0,015;0,00021;30;0,0015;0,00015;30;47;2e-05;3;0;0,00035;3;4,8;1;2;0,61;0,015;100;0,003;0,00015;3;1,6;0,0032;0,00015;3;0;0,8;2;0,25
"Diuron";"30288 1";0,0635047127965041;12,5;20;9,45;5100;2,5;75,5;354;2,5;1104;10;1;437;8;1;6,7;0,00021;30;5,7;0,00015;30;0,0027;2e-05;3;0,0183;0,00035;3;798;1;2;100;0,015;100;0,41;0,00015;3;8,8;0,096;0,00015;3;14,4;0,8;2;0,2125
"Glyphosat";"30288 1";0,00535307472937412;12,5;20;0,5;5100;2,5;15;354;2,5;2250;10;1;2000;8;1;38;0,00021;30;40;0,00015;30;4,4;2e-05;3;12;0,00035;3;5600;1;2;100;0,015;100;25;0,00015;3;9,9;30;0,00015;3;28,8;0,8;2;0,15
"Terbuthylazin";"30288 1";0,347833087643203;12,5;20;34;5100;2,5;75,1;354;2,5;1236;10;1;1000;8;1;2,2;0,00021;30;21,2;0,00015;30;0,012;2e-05;3;0,0128;0,00035;3;141,7;1;2;27,3;0,015;100;0,09;0,00015;3;6;0,019;0,00015;3;0;0,8;2;0,2375
"Hexythiazox";"30289 2";0,00534756750846004;12,5;20;1100;5100;2,5;26,85;354;2,5;2000;10;1;5000;8;1;3,2;0,00021;30;0,47;0,00015;30;0,4;2e-05;3;0;0,00035;3;105;1;2;156;0,015;100;0,04;0,00015;3;11,5;0,0061;0,00015;3;0;0,8;2;0,1
"Lufenuron";"30290 1";0,00535307472937412;12,5;20;5100;5100;2,5;18,55;354;2,5;2000;10;1;2000;8;1;29;0,00021;30;0,0013;0,00015;30;8,8;2e-05;3;0;0,00035;3;500;1;2;198,5;0,015;100;0,02;0,00015;3;112;1e-04;0,00015;3;0;0,8;2;0,05
"MCPA";"30291 1";0,223556026400756;12,5;20;1;5100;2,5;24;354;2,5;234;10;1;962;8;1;72;0,00021;30;190;0,00015;30;79,8;2e-05;3;0,152;0,00035;3;325;1;2;200;0,015;100;15;0,00015;3;13,5;50;0,00015;3;0;0,8;2;0,33
"MCPB";"30292 1";0,0102948337357692;12,5;20;0;5100;2,5;6,9;354;2,5;282;10;1;4300;8;1;4,3;0,00021;30;55;0,00015;30;41;2e-05;3;37;0,00035;3;252;1;2;90,9;0,015;100;40;0,00015;3;9,7;50;0,00015;3;0;0,8;2;0,4
"MCPB";"30293 1";0,0102948337357692;12,5;20;0;5100;2,5;6,9;354;2,5;282;10;1;4300;8;1;4,3;0,00021;30;55;0,00015;30;41;2e-05;3;37;0,00035;3;252;1;2;90,9;0,015;100;40;0,00015;3;9,7;50;0,00015;3;0;0,8;2;0,434
"Folpet";"30294 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,5625
"Iprovalicarb";"30294 2";0,0391044081438816;12,5;20;10;5100;2,5;13;354;2,5;2000;10;1;5000;8;1;22,7;0,00021;30;19,8;0,00015;30;10;2e-05;3;0;0,00035;3;1000;1;2;199;0,015;100;9,89;0,00015;3;54;1,89;0,00015;3;3,37;0,8;2;0,09
"Ethofumesat";"30295 1";0,135229241326323;12,5;20;144;5100;2,5;21,6;354;2,5;2000;10;1;2000;8;1;10,92;0,00021;30;13,52;0,00015;30;3,9;2e-05;3;52,8;0,00035;3;134;1;2;50;0,015;100;0,8;0,00015;3;20;0,32;0,00015;3;25;0,8;2;0,103
"Metamitron";"30295 1";0,136468450958389;12,5;20;75;5100;2,5;24,5;354;2,5;1302;10;1;1183;8;1;190;0,00021;30;5,7;0,00015;30;0,4;2e-05;3;0,4;0,00035;3;914;1;2;98,6;0,015;100;7;0,00015;3;10,5;10;0,00015;3;28;0,8;2;0,303
"Phenmedipham";"30295 1";0,0470672535445576;12,5;20;165;5100;2,5;27,5;354;2,5;2100;10;1;8000;8;1;1,71;0,00021;30;0,41;0,00015;30;0,086;2e-05;3;0,23;0,00035;3;36;1;2;33;0,015;100;0,32;0,00015;3;0,2;0,061;0,00015;3;3,33;0,8;2;0,103
"Methiocarb (Mercaptodimethur)";"30296 2";0,000417982290216714;12,5;20;75;5100;2,5;1,4;354;2,5;5;10;1;19;8;1;0,65;0,00021;30;0,008;0,00015;30;2,2;2e-05;3;0;0,00035;3;1322;1;2;0,35;0,015;100;0,05;0,00015;3;8,5;1e-04;0,00015;3;0,32;0,8;2;0,01
"Metamitron";"30297 1";0,136468450958389;12,5;20;75;5100;2,5;24,5;354;2,5;1302;10;1;1183;8;1;190;0,00021;30;5,7;0,00015;30;0,4;2e-05;3;0,4;0,00035;3;914;1;2;98,6;0,015;100;7;0,00015;3;10,5;10;0,00015;3;28;0,8;2;0,7
"Metamitron";"30297 2";0,136468450958389;12,5;20;75;5100;2,5;24,5;354;2,5;1302;10;1;1183;8;1;190;0,00021;30;5,7;0,00015;30;0,4;2e-05;3;0,4;0,00035;3;914;1;2;98,6;0,015;100;7;0,00015;3;10,5;10;0,00015;3;28;0,8;2;0,7
"Metaldehyd";"30298 2";0,00423695491597105;12,5;20;11;5100;2,5;5,1;354;2,5;196;10;1;283;8;1;75;0,00021;30;78,4;0,00015;30;75,9;2e-05;3;0;0,00035;3;1000;1;2;100,25;0,015;100;37,5;0,00015;3;11,5;90;0,00015;3;0;0,8;2;0,05
"Methomyl";"30299 2";0,0145246036982507;12,5;20;0;5100;2,5;6,985;354;2,5;24,2;10;1;30;8;1;0,63;0,00021;30;0,0076;0,00015;30;100;2e-05;3;0;0,00035;3;19;1;2;0,22;0,015;100;0,076;0,00015;3;2,9;0,0016;0,00015;3;1,5;0,8;2;0,25
"Ethephon";"30300 1";0,0124161605971761;12,5;20;0;5100;2,5;16,25;354;2,5;764;10;1;1564;8;1;100;0,00021;30;31,7;0,00015;30;20,9;2e-05;3;1,6;0,00035;3;165,4;1;2;108,25;0,015;100;43;0,00015;3;2,4;67;0,00015;3;200;0,8;2;0,25
"Trinexapac-ethyl";"30300 1";6,65581753832264e-05;12,5;20;6;5100;2,5;0,33;354;2,5;2500;10;1;4210;8;1;35;0,00021;30;142,5;0,00015;30;9,4;2e-05;3;8,8;0,00035;3;250;1;2;88,8;0,015;100;0,41;0,00015;3;4,2;2,4;0,00015;3;0;0,8;2;0,25
"Mevinphos";"30301 1";0,00250659533722267;12,5;20;0;5100;2,5;2,1;354;2,5;4,63;10;1;3,5;8;1;0,012;0,00021;30;0,00016;0,00015;30;71;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;5;0;0,00015;3;0;0,8;2;0,238
"Sulcotrione";"30302 1";0,410610642663747;12,5;20;0;5100;2,5;25,15;354;2,5;1350;10;1;5000;8;1;227;0,00021;30;848;0,00015;30;1,2;2e-05;3;0,051;0,00035;3;1000;1;2;125;0,015;100;3,2;0,00015;3;9,5;75;0,00015;3;0;0,8;2;0,3
"Spiroxamin";"30303 1";0,00535307472937412;12,5;20;79;5100;2,5;30;354;2,5;565;10;1;460;8;1;7,13;0,00021;30;6,1;0,00015;30;0,003;2e-05;3;2,76;0,00035;3;1000;1;2;52,1;0,015;100;0,014;0,00015;3;0,8;0,1;0,00015;3;0;0,8;2;0,4003
"Tebuconazol";"30303 1";0,276877557519187;12,5;20;78;5100;2,5;214;354;2,5;1988;10;1;1700;8;1;4,4;0,00021;30;2,79;0,00015;30;1,96;2e-05;3;0,144;0,00035;3;1381;1;2;141,525;0,015;100;0,012;0,00015;3;42,6;0,01;0,00015;3;10;0,8;2;0,0998
"Tebufenozid";"30304 1";0,0514921697057223;12,5;20;70;5100;2,5;213,1;354;2,5;2150;10;1;5000;8;1;3;0,00021;30;3,8;0,00015;30;0,23;2e-05;3;0;0,00035;3;1000;1;2;167;0,015;100;0,71;0,00015;3;12,6;0,029;0,00015;3;0;0,8;2;0,24
"Mineralöl / Petroleum oils";"30305 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,854
"Prochloraz";"30306 1";0,0809985796633021;12,5;20;371;5100;2,5;171,8;354;2,5;662;10;1;1023;8;1;1,5;0,00021;30;4,3;0,00015;30;0,0055;2e-05;3;0,171;0,00035;3;500;1;2;121,15;0,015;100;0,049;0,00015;3;2;0;0,00015;3;4,2;0,8;2;0,45
"Chlorothalonil (TCPN)";"30307 2";0,01114824142295;12,5;20;100;5100;2,5;9,2;354;2,5;2000;10;1;5000;8;1;0,017;0,00021;30;0,054;0,00015;30;0,21;2e-05;3;0,29;0,00035;3;268,5;1;2;82;0,015;100;0,003;0,00015;3;1,51;0,009;0,00015;3;50;0,8;2;0,75
"Benzoximat";"30308 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;5000;8;1;1,75;0,00021;30;0,44;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,117
"Cyhexatin";"30308 1";0,0118035328789953;12,5;20;5100;5100;2,5;50;354;2,5;520;10;1;265;8;1;0,06;0,00021;30;2e-04;0,00015;30;1,8e-05;2e-05;3;0;0,00035;3;0;1;2;32;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,117
"Trinexapac-ethyl";"30309 1";6,65581753832264e-05;12,5;20;6;5100;2,5;0,33;354;2,5;2500;10;1;4210;8;1;35;0,00021;30;142,5;0,00015;30;9,4;2e-05;3;8,8;0,00035;3;250;1;2;88,8;0,015;100;0,41;0,00015;3;4,2;2,4;0,00015;3;0;0,8;2;0,25
"Linuron";"30310 2";0,10479990300985;12,5;20;49;5100;2,5;57,6;354;2,5;314;10;1;1146;8;1;3,15;0,00021;30;0,31;0,00015;30;0,016;2e-05;3;0,017;0,00035;3;1000;1;2;160;0,015;100;0,1;0,00015;3;13;0,18;0,00015;3;0;0,8;2;0,285
"Monolinuron";"30310 2";0,258214209759817;12,5;20;40;5100;2,5;55;354;2,5;1690;10;1;2100;8;1;42;0,00021;30;32,5;0,00015;30;0,001;2e-05;3;2,4;0,00035;3;1000;1;2;296;0,015;100;5;0,00015;3;0;0,56;0,00015;3;0;0,8;2;0,19
"Metaldehyd";"30311 1";0,00423695491597105;12,5;20;11;5100;2,5;5,1;354;2,5;196;10;1;283;8;1;75;0,00021;30;78,4;0,00015;30;75,9;2e-05;3;0;0,00035;3;1000;1;2;100,25;0,015;100;37,5;0,00015;3;11,5;90;0,00015;3;0;0,8;2;0,214
"Butralin";"30312 1";0,00535307472937412;12,5;20;1950;5100;2,5;0;354;2,5;2250;10;1;1049;8;1;0,37;0,00021;30;0,12;0,00015;30;0,12;2e-05;3;0,15;0,00035;3;1000;1;2;97,85;0,015;100;0,044;0,00015;3;4,5;0,079;0,00015;3;24,9;0,8;2;0,24
"Monolinuron";"30312 1";0,258214209759817;12,5;20;40;5100;2,5;55;354;2,5;1690;10;1;2100;8;1;42;0,00021;30;32,5;0,00015;30;0,001;2e-05;3;2,4;0,00035;3;1000;1;2;296;0,015;100;5;0,00015;3;0;0,56;0,00015;3;0;0,8;2;0,0618
"Pencycuron";"30313 1";0,011621576704029;12,5;20;226;5100;2,5;82,4;354;2,5;2000;10;1;5000;8;1;0,3;0,00021;30;0,3;0,00015;30;0,3;2e-05;3;0;0,00035;3;1000;1;2;99,25;0,015;100;0,3;0,00015;3;5,3;0,05;0,00015;3;3,3;0,8;2;0,25
"Sulfosulfuron";"30314 12";2,09720282050209;12,5;20;0;5100;2,5;63,8;354;2,5;2250;10;1;5000;8;1;91;0,00021;30;96;0,00015;30;0,221;2e-05;3;0,00096;0,00035;3;848;1;2;27,5;0,015;100;100;0,00015;3;17,8;102;0,00015;3;0,13;0,8;2;8e-04
"Sulfosulfuron";"30314 2";2,09720282050209;12,5;20;0;5100;2,5;63,8;354;2,5;2250;10;1;5000;8;1;91;0,00021;30;96;0,00015;30;0,221;2e-05;3;0,00096;0,00035;3;848;1;2;27,5;0,015;100;100;0,00015;3;17,8;102;0,00015;3;0,13;0,8;2;0,8
"Fenpropidin";"30315 2";0,0167747992838027;12,5;20;163;5100;2,5;99,5;354;2,5;1899;10;1;1452;8;1;1,9;0,00021;30;0,54;0,00015;30;0,0057;2e-05;3;0;0,00035;3;500;1;2;10;0,015;100;0,32;0,00015;3;1,8;0,32;0,00015;3;10;0,8;2;0,06
"Folpet";"30315 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,3
"Kupfer (als Oxychlorid)";"30315 2";0;12,5;20;0;5100;2,5;0;354;2,5;173;10;1;950;8;1;43,8;0,00021;30;0,29;0,00015;30;0,033;2e-05;3;0;0,00035;3;489,6;1;2;12,1;0,015;100;0;0,00015;3;0;0,008;0,00015;3;15;0,8;2;0,15
"Bromopropylat";"30316 1";0,00832687852508461;12,5;20;1050;5100;2,5;59;354;2,5;2000;10;1;5000;8;1;0,35;0,00021;30;0,17;0,00015;30;52;2e-05;3;0;0,00035;3;1000;1;2;0;0,015;100;0;0,00015;3;4;0;0,00015;3;0;0,8;2;0,25
"Schwefel";"30319 2";0,0199103330212164;12,5;20;0;5100;2,5;0;354;2,5;2000;10;1;2000;8;1;0,063;0,00021;30;0,063;0,00015;30;0,063;2e-05;3;0;0,00035;3;2000;1;2;103,4;0,015;100;0;0,00015;3;708;0;0,00015;3;0;0,8;2;0,8
"Napropamid";"30320 1";0,199406538266745;12,5;20;98;5100;2,5;189;354;2,5;2250;10;1;4680;8;1;6,6;0,00021;30;14,3;0,00015;30;3,4;2e-05;3;0,24;0,00035;3;282;1;2;100;0,015;100;1,1;0,00015;3;28;4,3;0,00015;3;30;0,8;2;0,45
"Clomazone";"30321 1";0,323468831323337;12,5;20;40;5100;2,5;85,9;354;2,5;2510;10;1;1369;8;1;15,5;0,00021;30;12,7;0,00015;30;0,136;2e-05;3;34;0,00035;3;78;1;2;85,3;0,015;100;2,3;0,00015;3;0;2,2;0,00015;3;0,8;0,8;2;0,0331
"Metazachlor";"30321 1";0,0472777915798803;12,5;20;0;5100;2,5;9,7;354;2,5;2000;10;1;3480;8;1;8,5;0,00021;30;33;0,00015;30;0,0162;2e-05;3;0,0023;0,00035;3;500;1;2;86,1;0,015;100;2,15;0,00015;3;216;0,1;0,00015;3;0;0,8;2;0,25
"Bupirimat";"30322 1";0,0395193428354241;12,5;20;185;5100;2,5;93;354;2,5;10000;10;1;4000;8;1;1;0,00021;30;3,41;0,00015;30;1,6;2e-05;3;0;0,00035;3;500;1;2;125;0,015;100;0,3;0,00015;3;6,2;0,56;0,00015;3;0;0,8;2;0,25
"Teflubenzuron";"30323 1";0,00535307472937412;12,5;20;640;5100;2,5;92,05;354;2,5;2250;10;1;5038;8;1;0,0065;0,00021;30;0,0028;0,00015;30;0,02;2e-05;3;0;0,00035;3;500;1;2;86;0,015;100;0,0186;0,00015;3;7,3;6,2e-05;0,00015;3;0;0,8;2;0,15
"Teflubenzuron";"30324 1";0,00535307472937412;12,5;20;640;5100;2,5;92,05;354;2,5;2250;10;1;5038;8;1;0,0065;0,00021;30;0,0028;0,00015;30;0,02;2e-05;3;0;0,00035;3;500;1;2;86;0,015;100;0,0186;0,00015;3;7,3;6,2e-05;0,00015;3;0;0,8;2;0,15
"Bacillus thuringiensis var. tenebrionis";"30325 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,03
"Diazinon";"30326 1";0,014245677984486;12,5;20;500;5100;2,5;9,1;354;2,5;1,44;10;1;1139;8;1;3,1;0,00021;30;0,001;0,00015;30;6,4;2e-05;3;0;0,00035;3;65;1;2;0,11;0,015;100;0,7;0,00015;3;4,3;0,00056;0,00015;3;0;0,8;2;0,23
"Flusilazole";"30327 2";0,0900828344409828;12,5;20;250;5100;2,5;363,5;354;2,5;1590;10;1;674;8;1;1,2;0,00021;30;3,4;0,00015;30;6,4;2e-05;3;0;0,00035;3;388;1;2;99,4;0,015;100;0,023;0,00015;3;1;0,27;0,00015;3;8,82;0,8;2;0,2
"Diazinon";"30328 1";0,014245677984486;12,5;20;500;5100;2,5;9,1;354;2,5;1,44;10;1;1139;8;1;3,1;0,00021;30;0,001;0,00015;30;6,4;2e-05;3;0;0,00035;3;65;1;2;0,11;0,015;100;0,7;0,00015;3;4,3;0,00056;0,00015;3;0;0,8;2;0,095
"Rapsöl";"30328 1";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,769
"Paraffinöl";"30329 1";0;12,5;20;167,494287602644;5100;2,5;65;354;2,5;5000;10;1;0;8;1;100;0,00021;30;31,8;0,00015;30;89,9;2e-05;3;0;0,00035;3;750;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,83
"Verticillium lecanii";"30330 2";0;12,5;20;0;5100;2,5;0;354;2,5;0;10;1;0;8;1;0;0,00021;30;0;0,00015;30;0;2e-05;3;0;0,00035;3;0;1;2;0;0,015;100;0;0,00015;3;0;0;0,00015;3;0;0,8;2;0,16
"Diazinon";"30331 1";0,014245677984486;12,5;20;500;5100;2,5;9,1;354;2,5;1,44;10;1;1139;8;1;3,1;0,00021;30;0,001;0,00015;30;6,4;2e-05;3;0;0,00035;3;65;1;2;0,11;0,015;100;0,7;0,00015;3;4,3;0,00056;0,00015;3;0;0,8;2;0,093
"Flusilazole";"30332 1";0,0900828344409828;12,5;20;250;5100;2,5;363,5;354;2,5;1590;10;1;674;8;1;1,2;0,00021;30;3,4;0,00015;30;6,4;2e-05;3;0;0,00035;3;388;1;2;99,4;0,015;100;0,023;0,00015;3;1;0,27;0,00015;3;8,82;0,8;2;0,1
"Flusilazole";"30333 1";0,0900828344409828;12,5;20;250;5100;2,5;363,5;354;2,5;1590;10;1;674;8;1;1,2;0,00021;30;3,4;0,00015;30;6,4;2e-05;3;0;0,00035;3;388;1;2;99,4;0,015;100;0,023;0,00015;3;1;0,27;0,00015;3;8,82;0,8;2;0,1
"Cymoxanil";"30334 2";0,00114603044978757;12,5;20;0;5100;2,5;1,05;354;2,5;2945;10;1;760;8;1;29;0,00021;30;27;0,00015;30;0,254;2e-05;3;0,7;0,00035;3;1000;1;2;92,65;0,015;100;0,22;0,00015;3;0,3;0,067;0,00015;3;6,6;0,8;2;0,048
"Flusilazole";"30334 2";0,0900828344409828;12,5;20;250;5100;2,5;363,5;354;2,5;1590;10;1;674;8;1;1,2;0,00021;30;3,4;0,00015;30;6,4;2e-05;3;0;0,00035;3;388;1;2;99,4;0,015;100;0,023;0,00015;3;1;0,27;0,00015;3;8,82;0,8;2;0,012
"Folpet";"30334 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,3
"Kupfer (als Oxychlorid)";"30334 2";0;12,5;20;0;5100;2,5;0;354;2,5;173;10;1;950;8;1;43,8;0,00021;30;0,29;0,00015;30;0,033;2e-05;3;0;0,00035;3;489,6;1;2;12,1;0,015;100;0;0,00015;3;0;0,008;0,00015;3;15;0,8;2;0,2
"Cymoxanil";"30335 2";0,00114603044978757;12,5;20;0;5100;2,5;1,05;354;2,5;2945;10;1;760;8;1;29;0,00021;30;27;0,00015;30;0,254;2e-05;3;0,7;0,00035;3;1000;1;2;92,65;0,015;100;0,22;0,00015;3;0,3;0,067;0,00015;3;6,6;0,8;2;0,08
"Flusilazole";"30335 2";0,0900828344409828;12,5;20;250;5100;2,5;363,5;354;2,5;1590;10;1;674;8;1;1,2;0,00021;30;3,4;0,00015;30;6,4;2e-05;3;0;0,00035;3;388;1;2;99,4;0,015;100;0,023;0,00015;3;1;0,27;0,00015;3;8,82;0,8;2;0,02
"Folpet";"30335 2";0,00353484393385976;12,5;20;56;5100;2,5;4,7;354;2,5;2510;10;1;2000;8;1;0,233;0,00021;30;0,68;0,00015;30;10;2e-05;3;0;0,00035;3;500;1;2;218;0,015;100;0;0,00015;3;0,02;0,002;0,00015;3;5,18;0,8;2;0,5
"Epoxiconazole";"30336 1";0,123846554446731;12,5;20;70;5100;2,5;290;354;2,5;2000;10;1;3160;8;1;3,14;0,00021;30;8,69;0,00015;30;1,19;2e-05;3;0,014;0,00035;3;500;1;2;91,5;0,015;100;0,01;0,00015;3;65,8;0,63;0,00015;3;0,084;0,8;2;0,05
"Pyraclostrobin";"30336 1";0,00552344676233411;12,5;20;706;5100;2,5;47;354;2,5;2000;10;1;5000;8;1;0,006;0,00021;30;0,016;0,00015;30;0,843;2e-05;3;1,72;0,00035;3;567;1;2;86,55;0,015;100;0,005;0,00015;3;2;0,004;0,00015;3;0,443;0,8;2;0,133
"Epoxiconazole";"30337 1";0,123846554446731;12,5;20;70;5100;2,5;290;354;2,5;2000;10;1;3160;8;1;3,14;0,00021;30;8,69;0,00015;30;1,19;2e-05;3;0,014;0,00035;3;500;1;2;91,5;0,015;100;0,01;0,00015;3;65,8;0,63;0,00015;3;0,084;0,8;2;0,125
"Triclopyr";"30338 1";0,684602383951509;12,5;20;0,77;5100;2,5;39;354;2,5;1698;10;1;630;8;1;117;0,00021;30;131;0,00015;30;75,8;2e-05;3;0,8;0,00035;3;521;1;2;100;0,015;100;46,3;0,00015;3;24,8;48,5;0,00015;3;0;0,8;2;0,12
"Epoxiconazole";"30339 1";0,123846554446731;12,5;20;70;5100;2,5;290;354;2,5;2000;10;1;3160;8;1;3,14;0,00021;30;8,69;0,00015;30;1,19;2e-05;3;0,014;0,00035;3;500;1;2;91,5;0,015;100;0,01;0,00015;3;65,8;0,63;0,00015;3;0,084;0,8;2;0,0837
"Fenpropimorph";"30339 1";0,00919611448450654;12,5;20;428;5100;2,5;27,3;354;2,5;2000;10;1;1670;8;1;2,3;0,00021;30;2,24;0,00015;30;0,327;2e-05;3;0;0,00035;3;500;1;2;97,8;0,015;100;0,1;0,00015;3;2,65;0;0,00015;3;4,7;0,8;2;0,25
