ID,Active,Reference,Mammals Dermal LD50 mg/kg,Mammals dermal <>,Quality Barometer - Mammals Dermal,Mammals Inhalation LC50 mg/l,Mammals Inhalation <>,Quality Barometer - Mammals Inhalation,WHO Classification,CLP classification 2013,CLP classification precautionary statements,EC Risk Classification,EC Safety Classification,General human health issues,Genotoxic?,Carcinogen?,Endocrine distrupter?,Reproduction/development effects?,Acetyl cholinesterase inhibitor?,Neurotoxicant?,Respiratory tract irritant?,Skin irritant,Eye irritant,Handling issues,Acceptable Daily Intake (ADI) mg/kg bw,Quality Barometer - ADI,ARfD mg/kg BW/day,Quality Barometer - ARfD,Acceptable Operator Exposure Level (AOEL) Systemic,Quality Barometer - AOEL,Percutaneous Penetration study %,Quality Barometer - Percutaneous Penetration,Dangerous Substances Directive 76/464,Exposure Routes - Public,Exposure Routes - Occupational,Examples of European MRLs  mg/Kg,MRL Comments,Drinking Water MAC ug/l,MAC ref
"947","3-chloro-8-quinoline-carboxylic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"948","3-hydroxy-quinoxyfen","3-OH DE-795",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"968","sulprofos sulfoxide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"969","sulprofos sulfone",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"970","3,5-dichloro-2,4-difluorophenylurea",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"971","thiophene sulfonamide","IN-W8268",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"973","O-desmethylthifensulfuron methyl","IN-L9226",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"974","thiofanox sulfoxide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"975","thiofanox sulfone",,"60","=","Q3 Rabbit",,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"976","thiometon sulfoxide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"977","thiometon sulfone",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"978","N,N dimethyl carbamosulfonic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"979","dithiocarbamate",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"980","dimethylamine",,,,,,,,"NL",,,"[Xn - Harmful: R12, R20, R21, R22, R29, R34, R41], [Xi - Irritant: R36, R37]","[S3, S29, S16, S45, S26, S36, S37, S39]","[Harmful by ingestion, skin contact or inhalation], [May cause dermatitis]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"981","O-(2,6-dichloro-4-methylphenyl) O-methyl O-hydrogen phosphorothioate",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"982","N,N-dimethyl-N'-p-tolysulphamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"983","O-demethyl triasulfuron","CGA 195660",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"984","N-methyl triazine amine","IN-L5296","2000",">","A5 Rat",,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No","No data","[No information available]",,,,,,,,,,,,,,,
"986","dichloroethanol",,,,,,,,"NL",,,"[Xn - Harmful: R20 R21 R22]",,"[Harmful if swallowed, inhaled or absorbed through the skin]","A0; B0; C0; D0; E1","No data","No data","No data","No data","No data","No data","Yes","No","[No information available]",,,,,,,,,,,,,,,
"989","(E,E)-trifloxystrobin acid","CGA 321113",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"990","4-chloro-2-(trifluoromethyl)aniline","FA-1-1",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1079","N,N-dimethyl-6-(2,2,2-trifluoroethoxy)-1,3,5-triazine-2,4-diamine","IN-D8526",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1080","N-desmethyl triazine amine","IN-E7710",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1081","N,N-bis-desmethyl triazine amine","IN-M7222",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1082","TDL",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1083","desmethyl fluometuron","CGA 41686",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1084","m-trifluoromethylaniline","CGA 72903",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1088","disulfoton sulfoxide",,"92",,"Q2 Rat",,,,"O",,,,,"[Highly toxic]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[No information available]",,,,,,,,,"List I",,,,,,
"1089","phorate sulfoxide",,,,,,,,"NL",,,,,"[Highly toxic], [In severe cases may cause seizures, incontinence, respiratory depression, loss of consciousness]","A0; B0; C0; D0; E0","No data","No data","No data","Yes","Yes","No data","No data","No data","[No information available]",,,,,,,,,"List I",,,,,,
"1091","2-chlorobenzenesulfonamide ","IN-A4097",,,,,,,"NL",,,,,"[Possible liver, kidney, pancreas and spleen toxicant]","A3; B0; C3; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]","0.009","A5 Rat, SF=1000",,,,,,,,,,,,,
"1092","2-amino-4-methoxy-6-methyl-1,3,5-triazine","IN-A4098","2000",">","A5 Rat","5.2",">","A5 Rat","NL",,,"[Xn - Harmful: R22]",,"[Harmful if ingested]","A3; B0; C3; D0; E3","No data","No data","No data","No data","No data","No data","No","No","[No information available]",,,,,,,,,,,,,,,
"1093","quizalofop","CGA 287422",,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1094","hydroxy quizalofop","CGA 294972",,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1095","7-chloro-3-(1H-imidazol-1-yl)-1,2,4-benzotriazine",,,,,,,,,,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1099","O-chlorobenzamide","OBAM","5000",">","Q2 Rat","94",,"Q2 Rat, 4 hr (as mg/m3)","NL",,,"[Xn - Harmful: R 20/22], [Xi - Irritant: R 36/37/38]",,"[Harmful if swallowed or inhaled]","A0; B0; C0; D0; E0","Possible","No data","No data","No data","No data","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"1102","2-amido-3,5,6-trichlo-4-cyanobenzenesulphonic acid","R417888",,,,,,,"NL",,,,,"[Kidney toxicant]","A3; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","Yes","[No information available]","0.06","A5 Rat, SF=1000","None allocated","A5","None allocated","A5",,,,,,,,,
"1103","3-carbamyl-2,4,5-trichlorobenzoic acid","R611965",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","Possible","No data","No data","No data","No data","No data","[No information available]","0.5","A5 Dog, SF=100","0.5","A5 Dog, SF=100","None allocated","A5",,,,,,,,,
"1104","5-amino-4-chloro-3(2H)-pyridazinone",,,,,,,,"NL",,,,,"[May cause short-term kidney problems]","A0; B0; C0; D0; E0","No","No data","No","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1105","5-amino-4-chloro-2-methyl-3(2H)-pyridazinone",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No","No data","Possible","No data","No data","No","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1107","2,4-dinitro-6-octylphenol",,,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1121","bis(4-fluorophenyl)methyl silanol","IN-F7321",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1122","3-cyclohexyl-6,7-dihydro-7-1H-cyclopentapyrimidine-2,4,5-(3H)trione","IN-KE121",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1123","3-cyclohexyl-6,7-dihydroxy-7-1H-cyclopentapyrimidine-2,4,5(3H)trione","IN-KF313",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1125","2-(3,5-dichlorophenyl-carbamoyl)-1,2-dimethyl(cyclopropanecarboxylic acid)",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1134","proxsulam-5-OH",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1141","2,3,3-trichloro-2-propene sulfonic acid",,,,,,,,"NL",,,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1164","1-carboxy-1-methylethyl 2-chloro-5-(3,6-dihydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)-1(2H)-pyrimidinyl)benzoate","CGA 293731",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1165",,"CGA 293730",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1173","2-(2-naphthoxy)propionic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1220","chlorophenyl urea","275-352-I",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1221","2-chloro-4-(methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]-benzoic acid","AE-0456148",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1222","2-chloro-4(methylsulfonyl)-3-((2,2,2-trifluoroethoxy)methyl)phenol","AE-0968400",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1223","2-(1',2'-dioxotetradecyl)benzoic acid","AKM-18",,,,,,,,,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1224","N-(4-(1-carboxy-1-methylethyl)-benzyl)-4-chloro-3-ethyl-1-methyl-5-pyrazolecarboximide","CL-810721",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1230","2-(1-carbamoyl-1,2-dimethyl-propylcarbamoyl)-quinoline-3-carboxylic acid","CL-266066",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1237","2-methylsulfonyl-4-trifluoromethylbenzoic acid","AE-B197555",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1251","3-(4-hydroxy-6-methoxypyrimidin-2-yl)-1-(N-methyl-N-methylsulfonyl-aminosulfonyl)-urea","AE-F101630",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"991","trinexapac","CGA 179500",,,,,,,"NL","[Environment: H400, H411, H412]",,,,"[No information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"992","(1R,3R,E)-3-(4-chlorobenzylidene)-5,5-dimethyl-1-((1H)-1,2,4-triazol-1-ylmethyl)-cyclopentan-1,3-diol","RPA 406341",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C3; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"993","(E)-2-(4-chlorobenzylidene)-5,5-dimethyl-1-((1H)-1,2,4-triazol-1-ylmethyl)-cyclopentan-1,3-diol","RPA 404766",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"994","2-chloro-5((E)-((2RS)-2-hydroxy-3,3-dimethyl-2-(1H-1,2,4-triazole-1-ylmethyl)cyclopentylidenc)methyl)phenol","RPA 407922",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"995","mercaptan",,,,,,,,"NL","[Handling: H220], [Health: H331], [Environment: H400, H410]",,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","Yes","No data","No data","No data","[Flammable gas]",,,,,,,,,,,,,,,
"996","3,5-dichloro-N-(2-carboxy-1-ethyl-1-methyl-2-oxoethyl)-4-methylbenzamide","RH-163353",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"997","3,5-dichloro-N-(1-ethyl-1-methyl-2-oxopropyl)-4-methylbenzamide","RH-127450",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"998","3,5-dichloro-4-methylbenzoic acid","RH-24549",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"999","4-methoxybiphenyl","D-1989",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1000","2-dodecyl-3-hydroxy-1,4-naphthoquinone",,"2000",">","A5 Rat",,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,"[Risk of public exposure negligible as metabolite]",,,,,
"1001","3-(4,5-dihydro-isoxazol-3-yl)-4-methanesulfonyl-2-methyl-benzoic acid","M670H05",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1002","(3-cyano-4-methanesulfonyl-2-methyl phenyl)(5-hydroxy-1-methyl-1H-pyrazol-4-yl)methanone","M670H01",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"1003","6-(5-hydroxy-1-methyl-1H-pyrazol-4-yl)carbonyl)-5-methyl-2,3-dihydro-4H-1-benzothiopyran-4-one","M670H10",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"791","fenamiphos sulfone",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"792","4-hydroxyquinazoline",,,,,,,,"NL","[Health: H302, H315, H319, H335]",,"[Xn - Harmful: R22], [Xi - Irritant: R36/37, R39]",,"[No further information available]","A0; B0; C3; D0; E3","No data","No data","No data","No data","No data","Yes","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"793","4-tert-butylphenylethyl alcohol",,"2000",">","A5 Rat",,,,"NL",,,"[Reproduction risk category 3: R62], [Xn - Harmful: R48/22, R41], [N - Dangerous for the environment: R51, R53]",,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
"794","cis-5-(4-chlorophenyl)-dihydro-3-phenyl-3-(1H-1,2,4-triazole-1-ylmethyl)-2-3H-furanone","RH-9129",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"795","trans-5-(4-chlorophenyl)-dihydro-3-phenyl-3- (1H-1,2,4-triazole-1-ylmethyl)-2-3H-furanone","RH-9130",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"796","4-(4-chlorophenyl)-2-(methyl-1H-1,2,4-triazole)-4-oxo-2-phenylbutanenitrile","RH-6467",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"797","3-methyl-4-nitrophenol",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"798","2-(4-(6-chloro-2-benzoxazolyloxy)-phenoxy)-propionic acid","HOE 88406",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"800","fenthion sulfone",,"1600",">","Q2 Rat",,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"801","fipronil amide","RPA 200766",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"802","fipronil sulfone","MB 46136",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"803","fipronil sulfide","MB 45950",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"804","1-(4,6-dimethoxypyrimidin-2-yl)-1-(3-trifluoromethyl-2-pyridyl)urea",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"805","3-trifluoromethyl-2-pyridylsulfonamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"985","N-((N-carbamoylcarbamimidoyl)carbamoyl)-2-chlorobenzenesulfonamide","IN-JJ998",,,,,,,,,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"806","4,6-dimethoxy-N-(3-(trifluoromethyl)pyridin-2-yl)pyrimidin-2-amine",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"807","4-trifluoromethylnicotinic acid",,,,,,,,"NL",,,"[Xi - Irritant: R36/37/38]","[S26, S37/39]","[No further information available]","A0; B0; C3; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"808","N-(4-trifluoromethyl-nicotinoyl)glycinamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"809","N-(2,6-difluorophenyl)-8-fluoro-5-hydroxy(1,2,4)triazolo(1,5-c)pyrimidine-2-sulfonamide",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"810","N-(2,6-difluorophenyl)-5-aminosulfonyl-1H-1,2,4-triazole-3-carboxylic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"811","5-(aminosulfonyl)-1H-1,2,4-triazole-3-carboxylic acid",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"812","fluazifop",,,,,,,,"NL","[Health: H361d], [Environment: H400, H410]",,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","Possible","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"814","FOE sulphonic acid","AE 0841914",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"815","FOE oxalate","AE 0841913",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"816","4-N-[3-chloro-5-trifluoromethyl-pyridin-2-yl-(hydroxyl)methyl]-2,6-dichlorobenzamide","AE-0608000",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"817","2,6-dichlorobenzamide","AE C653711",,,,,,,"NL",,,,,"[Possible liver and kidney toxicant]","A3; B3; C3; D0; E0","No","No data","No","No data","No data","No data","No data","No data","[No information available]","0.05","A5 Rat, SF=100","0.03","A5 Rabbit, SF=100",,,,,,,,,,,
"818","3-chloro-5-trifluoromethyl-pyridine-2-carboxylic acid","AE-C657188",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"820","HEC-5725-des-chlorophenyl","HEC 7155",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"821","HEC-5725-carboxylic acid","HEC 7180",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"823","N-(4,6-dimethoxypyrimidine-2-yl)-N-(3-methoxycarbonyl-6-trifluoromethylpyridine-2-yl)-amine","IN-KY374",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"824","1-(4,6-dimethoxypyrimidine-2-yl)-2,4-diketo-7-trifluoro-methyl-1,2,3,4-tetrahydropyridol(2,3-d)pyrimidine","IN-JV460",,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E3","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"825","4-amino-3,5-dichloro-6-fluoro-2-pyridinol",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,"[Risk of public exposure negligible as metabolite]",,,,,
"826","4-amino-3,5-dichloro-6-fluoro-2-pirydynil-2-methoxypyridine",,,,,,,,"NL",,,,,"[No further information available]","A0; B0; C0; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,"[Risk of public exposure negligible as metabolite]",,,,,
"827","trifluoroethanoic acid",,,,,,,,"NL",,,"[Xn - Harmful: R20], [H - Handling risks: R35], [N - Dangerous for the environment: R52, R53]","[S1/2, S9, S26, S27, S28, S45, S61]","[A weak peroxisome proliferator]","A3; B0; C3; D0; E3","No data","No data","No data","No data","No data","Yes","No data","No data","[Corrosive]","0.05","A4 Rat, SF=200","None allocated","A5","0.05","A4 tentative",,,,,,,,,
"828","3-trifluoromethylbenzoic acid","RE-54488",,,,,,,"NL",,,,,"[No further information available]","A3; B3; C3; D0; E0","No data","No data","No data","No data","No data","No data","No data","No data","[No information available]",,,,,,,,,,,,,,,
"829","phthalimide",,,,,,,,"NL","[Health: H317, H319, H332, H351], [Environment: H400]",,,,"[No information available]","A0; B0; C0; D0; E0","Possible","No data","No data","No data","No data","No data","No data","Yes","[No information available]",,,,,,,,,,,,,,,
"830","phthalic acid",,,,,,,,"NL","[Health: H315, H318, H319, H335]",,,,"[May cause serious eye damage]","A1; B0; C0; D0; E0","No data","No data","Possible","No data","No data","No data","Yes","Yes","[No information available]",,,,,,,,,,,,,,,
