ID,Active,Reference,Alias1,Alias2,Alias3,Alias4,Alias5,Alias6,Alias7,Alias8
"2911","1-(4-(4-(5-(2,6-Difluorophenyl)-4,5-dihydro-3-isoxazolyl)-2-thiazolyl)-4-hydroxy-1-piperidinyl)-2-(5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl)ethanone","IN-RDT31",,,,,,,,
"2912","4-(4-(5-(2,6-difluorophenyl)-4,5-dihydro-3-isoxazolyl)-2-thiazolyl)piperidine","IN-QPS10",,,,,,,,
"2598","3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane-carboxylate",,"CPA",,,,,,,
"2599","6-hydroxy-benzo(1,2,3)thiadiazole-7-carboxylic acid","SYN 546642",,,,,,,,
"2600","phosphonic acid",,"orthophosphorus acid ",,,,,,,
"2936","4-fluoroaniline","CL7693",,,,,,,,
"2937","1-oxo-1,2,3,4-tetrahydropyrido(1,2-a)pyrazin-5-ium","R32245","TOPPS","CGA 130327",,,,,,
"2951","N-(3,5-dichlorophenylcarbamoyl)-N-isopropylcarbamoyl-glycine","RP35606",,,,,,,,
"2952","3,5-dichloroaniline","RP32596","3,5-DCA",,,,,,,
"2953","3-(3,5-dichlorophenyl)-2,4-dioxoimidazolidine","RP25040",,,,,,,,
"3018","(E)-N2-carbamoyl-N1-(6-chloro-3-pyridyl)methyl-N2-cyano-N1-methylacetamidine",,"IM-1-2",,,,,,,
"3019","6-chloro-nicotinic acid",,"IC-0",,,,,,,
"3020","N-(6-chloropyridin-3-ylmethyl)-N-methyl-acetamidine",,"IM-1-5",,,,,,,
"3021","2-methyl-3,5-dinitro-4-(pentan-3ylamino)benzoic acid","M455H001",,,,,,,,
"3040","1-(2-chloroimidazol(1,2-a)pyridine-3-yl-sulfonyl)-3-(4-hydroxy-6-methoxypyrimidin-2-yl)urea",,"HMS",,,,,,,
"3041","2-chloroimidazol(1,2-a)pyridine-3-sulfonamide",,"IPSN",,,,,,,
"3042","N-(((amino(imino)methyl)amino)carbonyl)-2-chloroimidazo(1,2-a)pyridine-3-sulfonamide",,"ACIS",,,,,,,
"3045","N-methyl bentazone",,,,,,,,,
"3046","(N-(3-methoxy-2-methylbenzoyl)-N-(3-carboxy-5-methylbenzoyl)-N-tert-butylhydrazine)","RH-131154",,,,,,,,
"3047","4,6-dimethyl-pyrimidin-2-ylamine","CGA 322985","C1801",,,,,,,
"3048","(2S,4S-2R,4R)-2-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolane-4-carboxylic acid","SYN 547889","CSCW 622698","CGA 217495",,,,,,
"3049","1H-1,2,4-triazole-1-ethanol, alpha-(2,4-dichlorophenyl)- 2-(1,2,4) triazol-1-yl-ethanol","CGA 91305","CSAA 067352","N06010","CGA 077502",,,,,
"3052","(2E)-3-methoxy-2-(2-(((6-(trifluoromethyl)pyridin-2-yl)oxy)methyl)phenyl)acrylic acid","IN-QDY62","R403092",,,,,,,
"3053","6-(trifluoromethyl)pyridin-2(1H)-one","IN-QDK50","R403814",,,,,,,
"3054","2-methoxy-6-(trifluoromethyl)pyridine","IN-QDY64","R413834",,,,,,,
"3055","propylene thiourea",,"PTU",,,,,,,
"3056","propineb-DIDT",,"PTU","BCS-CU99534","methyl-dihydro-imidazo-dithiazole-thione",,,,,
"3057","4-methyl-imidazoline hydrochloride",,"PTU",,,,,,,
"3058","4,5-dimethyl-2-(trimethylsilyl)thiophene-3-carboxamide","MON 65561","silthiofam amide",,,,,,,
"3059","4-(allylcarbamoyl)-3-methyl-5-(trimethylsilyl)thiophene-2-carboxylic acid","MON 65533","silthiofam ally acid",,,,,,,
"3060","4-carbamoyl-3-methyl-5-(trimethylsilyl)thiophene-2-carboxylic acid","MON 65534","silthiofam amide acid",,,,,,,
"3066","2-(2-((2,4-dimethyl-3-thienyl)-((1S)-2-methoxy-1-methyl-ethyl)amino)-2-oxo-ethylsulfinylacetic acid",,"dimethenamid-M31","dimethenamid-P-M31","M656PH031",,,,,
"3074","3-hydroxy-4-methoxypyridine-2-carboxylic acid","X696476",,,,,,,,
"3075","(3S,6S,7R,8R)-8-benzyl-3-(((3-hydroxy-4-methoxypyridin-2-yl)carbonyl)amino)-6-methyl-4,9-dioxo-1,5-dioxonan-7-yl 2-methylpropanoate","X642188",,,,,,,,
"3076","N-((3-hydroxy-4-methoxypyridin-2-yl)carbonyl)serine","X12264475",,,,,,,,
"3077","N-((3S,7R,8R,9S)-7-benzyl-8-hydroxy-9-methyl-2,6-dioxo-1,5-dioxonan-3-yl)-3-hydroxy-4-methoxypyridine-2-carboxamide","X696872",,,,,,,,
"3078","3-hydroxy-4-methoxypyridine-2-carboximide","X12313581",,,,,,,,
"3079","benalaxyl acid",,"galben",,,,,,,
"3082","4-amido-2,5-dichloro-6-cyano benzene-1,3-disulfonic acid","R419492","Compound 12",,,,,,,
"3083","(E)-2-((((1-(3-(trifluoromethyl)phenyl)ethylidene)amino)oxy)methy)benzonitrile","CGA 357276",,,,,,,,
"3084","(Z,E)-methoxyimino-(2-(1-(3-trifluoro methylphenyl-ethylideneaminooxymethyl)-phenyl)-acetic acid","CGA 373466",,,,,,,,
"3103","N-(2-ethoxyethyl)-N-((1Z)-3-hydroxy-2-methyl-1-phenylprop-1-en-1-yl)-2-sulfanylacetamide",,"pethoximid MET-101",,,,,,,
"3104","2-(N-(2-Methyl-1-phenylprop-1-en-1-yl)-2-sulfoacetamido)acetic acid",,"pethoxamid MET-100",,,,,,,
"3109","3-ethoxycarbonylpentanedioic acid","CGA 300405",,,,,,,,
"3120","4-hydroxy-alpha-cypermethrin","CL 194198","WL 48394","WL 48393","M3110I017",,,,,
"3121","methyl 4-(2-(methoxycarbonylamino)benzothiazoyl)allophanate","CM-0237",,,,,,,,
"3124","2,3,5-trichloro-6-methoxypyridine",,"TMP","trichloromethoxypyridine",,,,,,
"3125","4-amino-3-chloro-6-(4-chloro-2-fluoro-3-hydroxyphenyl)-5-fluoropyridine-2-carboxylic acid","X11966341","XDE-848 hydroxyl acid",,,,,,,
"3126","4-amino-3-chloro-6-(4-chloro-2-fluoro-3-hydroxy-6-nitrophenyl)-5-fluoropyridine-2-carboxylic acid","X12483137",,,,,,,,
"3131","fenamiphos sulfone phenol",,"FONP",,,,,,,
"3132","fenamiphos sulfoxide phenol",,"FOXP",,,,,,,
"3133","fenamiphos sulfone anisole",,"FANON",,,,,,,
"3134","FOE alcohol","AND 1403",,,,,,,,
"3139","(3R,4R,5S)-3-benzyl-4-hydroxy-5-methyldihydrofuran-2(3H)-one","X119634522",,,,,,,,
"3152","1-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-1-methylurea",,"Tribenuron methyl M2",,,,,,,
"3153","1,1-dimethylurea",,,,,,,,,
"3155","dichloronitromethane",,"DCNM",,,,,,,
"3157","2,3,7,8-tetrahydroiimidazo(2.1-b:1',2'-e)(1,3,5)thiadizine-5-thione",,"TDIT",,,,,,,
"3158","desamino-metribuzin","BCS-AA91084","DA-metribuzin",,,,,,,
"3159","(N-((2-chlorobenzyl))-3-hydroxy-2,2-dimethylpropanamide)","FMC 653167",,,,,,,,
"3162","1-(5-chloro-4-hydroxy-6-methoxypyrimidin-2-yl)-3-mesyl(methyl)sulfamoylurea","BCS-C041838","desmethyl-chloropyrimidine amidosulfuron",,,,,,,
"3163","1-amidino-3-mesyl(methyl)sulfamoylurea","BCS-CO41839","Amidosulfuron-Guanidine",,,,,,,
"3166","N-(4-chlorobiphenyl-2-yl)-2-hydroxynicotinamide","M510F49",,,,,,,,
"3167","thiacloprid-des-cyano","AE 1303449",,,,,,,,
"3168","(1RS, 5Z)-5-(4-chlorobenzylidence)-2-2-dimethyl-1-(1H-1,2,4-triazole-1-ylmethyl)cyclopentanol","RPA 406203","M595F014",,,,,,,
"3181","2-(4-chloro-2-((cyclopropyl((3-(difluoromethyl)-5-fluoro-1-methyl-1H-pyrazol-4-yl)-carbonyl)amino)-methyl)phenyl}-propanoic acid","BCS-CY26497","BCS-CN88460-carboxylic acid",,,,,,,
"3182","2-((2-Ethyl-6-methyl-phenyl)-oxalylamino)-propionic acid","CGA 357704",,,,,,,,
"3183","desmethyl-benzovindiflupyr","SYN546206",,,,,,,,
"3184","1,3-dimethyl-5-phenoxypyrazole-4-carboxylic acid",,"fenpyroximate M-8",,,,,,,
"1373","ethanol",,"absolute alcohol","hydroxyethane ","grain alcohol","ethyl hydrate","methylcarbinol","ethyl alcohol",,
"1523","isomalathion",,"S-methylmalathion","iso-malathion","CCRIS 5620",,,,,
"875","ethylene bisisothiocyanate sulphide",,"EBIS","DIDT","ethylene bisisothiocyanate sulfide","endodan","ethylene bisthiuram monosulfide",,,
"727","O,O-diethyl phosphorothionate ","DETP",,,,,,,,
"128","chitosan",,"deacetylchitin","C00734","poliglusam",,,,,
"147","chlorophyllin",,"chlorophylline",,,,,,,
"44","aviglycine-HCl","ABG 3097","aminoethoxyvinylglycine HCl","AVG HCl","avilglycine hydrochloride","aminoethoxyvinylglycine HCl",,,,
"46","azadirachtin A","N 3101","azad","neem","salannin","azadirachtin","Margosa extract",,,
"55","Bacillus sphaericus","MV 716","ABG 6184",,,,,,,
"56","Bacillus subtilis var amyloliquefaciens",,"Hay bacillus","Grass bacillus",,,,,,
"57","Bacillus thuringiensis Berliner subsp. kurstaki",,"Btk","Bt","<i>Bacillus thuringiensis</i>",,,,,
"371","gibberellic acid",,"gibberellic acid",,,,,,,
"416","laminarin","H11","laminaran","laminarine",,,,,,
"449","Metarhizium anisopliae strain F52",,"<i>Metarhizium anisopliae</i> var anisopliae BIPESCO 5/F52","Green muscardine virus","<i>Entomophthora anisopliae</i>","<i>Metarhizium brunneum</i>  BIPESCO 5/F52",,,,
"472","milbemectin","SL 8601","B 41","E 187",,,,,,
"477","muscalure",,"Z-9-tricosene","(Z)-9-tricosene","cis-tricos-9-ene","muscamone","house fly sex pheromone",,,
"485","nicotine",,,,,,,,,
"533","polyoxin B",,"polyoxim AL",,,,,,,
"588","scilliroside",,"red squill","rodine","silmine",,,,,
"596","spinosad","XDE 105","DE 105",,,,,,,
"670","trimedlure",,"mediterranean fruit fly pheromone","TML",,,,,,
"677","validamycin",,"validamycin A",,,,,,,
"1022","codlemone","BAS 2851","E8E10-12OH","E,E-8,10-dodecadien-1-ol","codlelure","Codling moth pheromone","<i>Cydia pomonella</i> pheromone","Hickory shuckworm pheromone",,
"1069","cinnamaldehyde",,"trans-cinnamaldehyde","cinnamic aldehyde","cinnamaldehyde","phenylacrolein","cinnamon oil",,,
"1169","bilanafos","MW 801","AIDS 132579","bialaphos","SF 1293","bilanaphos","bialafos",,,
"1170","bilanafos-sodium",,"bialaphos-sodium","bilanaphos-sodium","bialafos-sodium",,,,,
"1198","gossyplure","PP761","BRN 1911945","Pink bollworm sex pheromone","Z7Z11-16Ac","Z7E11-16Ac",,,,
"1106","indolylacetic acid","auxins","IAA","AIA","beta-indoleacetic acid","auxins","heteroauxin","indole-3-ylacetic acid",,
"1324","6-benzyladenine   ","ABG-3191","6-BAP","6-BA","6-benzylaminopurine","benzyl adenine","N6-benzyl adenine",,,
"1325","blasticidin-S","BcS-3","BeS-3",,,,,,,
"1328","polynactins",,"tetranactin","trinactin","dinactin","mitocidin",,,,
"1329","sabadilla","ENT 123 ","veratrine","cevadine","veracevine","Schoenocaulon officinale seed alkaloids",,,,
"1359","citric acid anhydrous",,"hydrogen citrate",,,,,,,
"1382","jasmone",,"(Z)-jasmone","cis-jasmone","oil of jasmine",,,,,
"1383","pentacosane",,"n-pentacosane",,,,,,,
"1385","p-menthane-3,8-diol",,"PMD","para-menthane-3,8-diol","oil of lemon Eucalyptus","<i>Eucalyptus citriodora</i> crystals","Quwenling",,,
"1386","farnesene",,"beta-farnesene","EBF",,,,,,
"1387","octanal",,"caprylic aldehyde","octanaldehyde","aldehyde C8","n-octyl aldehyde",,,,
"1388","nepetalactone",,,,,,,,,
"1389","tricosane",,"n-tricosane",,,,,,,
"1390","ocimene",,"beta-ocimene","(E)-beta-ocimene","cis-beta-ocimene",,,,,
"1391","4-allylanisole",,"p-allylanisole","methyl chavicol","estragol","estragole","4-allylmethoxybenzene",,,
"1392","9-tetradecenyl acetate",,"Straight Chain Lepidopteran Pheromone","SCLP","Beet armyworm sex pheromone","<i>Spodoptera exigua</i> sex pheromone",,,,
"1393","putrescine",,"butylenediamine","putrescin","putrescene",,,,,
"1394","Beauveria bassiana strain ATCC 74040 ","F-7744","<i>Botrytis bassiana</i> balsamo","white muscardine","ESC 170GH",,,,,
"1400","Paecilomyces lilacinus strain 251","PBP 01001-1","<i>Paecilomyces lilacinus</i> (Thom.) strain P251","<i>Purpureocillium lilacinum</i> strain 251",,,,,,
"1401","Phlebiopsis gigantea",,"<i>Phlebia gigantea</i>","Peniophora gigantea","white-rot fungus",,,,,
"1402","Lecanicillium lecanii",,"<i>Verticillium lecanii</i>","Cephalosporium lecanii","Ve6","Lecanicillium longisporum",,,,
"1403","Cydia pomonella granulosis virus",,"<i>Codling moth granulose virus</i>","CmGV","CpGV","Grapholitha funebrana granulovirus","Laspeyresia pomonella granulovirus",,,
"1454","precocene II",,"precocene 2 ","ageratochromene",,,,,,
"1463","citronella oil ",,"citronella terpene ","essential oil of cymbopogon nardus",,,,,,
"1464","Coniothyrium minitans",,,,,,,,,
"1465","indolylbutyric acid",,"beta-indolebutyric acid ","IBA",,,,,,
"1468","nuranone","AI3-38648","japonilure","Japanese beetle sex pheromone",,,,,,
"1525","Paecilomyces fumosoroseus strain FE9901",,"ARSEF 4490","Pfr","<i>Paecilomyces isarioides</i>","<i>Paecilomyces hibernicus</i>",,,,
"1526","Adoxophyes orana granulovirus",,"AdorGV","AoGV","<i>Adoxophyes orana</i> GV","<i>Adoxophyes orana</i> summer fruit granulosis virus",,,,
"1623","2,6-diisopropylnaphthalene",,"diisopropylnaphthalene","DIPN","2,6-DIPN",,,,,
"1626","methyl anthranilate",,"nevoli oil","methyl aminobenzoate","anthranilic acid methyl ester","MA","neroli oil",,,
"1627","6-isopentenyl aminopurine",,"cytokinin, constituent of","N(6)-(delta(2)-isopentenyl)adenine","N6-(2-isopentenyl)adenine",,,,,
"1628","kinetin",,"cytokinin, constituent of","synthetic cytokinin",,,,,,
"1629","zeatin",,"cytokinin, constituent of","zeatine","(E)-zeatin ","6-(4-Hydroxy-3-methylbut-2-enylamino) purine","oxyenadenine",,,
"1630","capsaicin","NCI-C56564","chilli pepper dust","<i>Capsicum oleoresin</i>","hot pepper extract","axsain","zacin",,,
"1686","Isaria fumerosa Apopka strain 97",,"<i>Paecilomyces fumosoroseus</i>","PFR-97 WDG","PFR-MUP ","Paecilomyces fumosoroseus Apopka strain 97","<i>Isaria fumerosa</i>",,,
"1690","anabasine",,"neonicotine","S-(-)-anabasine ",,,,,,
"1691","Amblyseius californicus",,"<i>Neoseiulus californicus</i>","<i>Typhlodromus marinus</i>","<i>Typhlodromus mungeri</i>","<i>Neoseiulus californicus</i>","Spider mite preditory mite",,,
"1694","Agrobacterium radiobacter strain K1026",,,,,,,,,
"1695","Ampelomyces quisqualis strain AQ10",,"<i>Cicinnobiolum cesatii</i>","A.q.","AQ10",,,,,
"1696","Anticarsia gemmatalis nucleopolyhedrovirus",,"AgNPV","AgMNPV","<i>Anticarsia gemmatalis</i> nuclear polyhedrosis virus",,,,,
"1698","Anagrapha falcifera nucleopolyhedrovirus",,"celery looper nucleopolyhedrovirus","<i>Anagrapha falcifera</i> nucleocapsid polyhedrovirus","AfNPV","AfMNPV","celery looper moth NPV",,,
"1699","Autographa californica nucleopolyhedrovirus",,"AcNPV","AcMNPV",,,,,,
"1700","Bacillus firmus",,,,,,,,,
"1701","Bacillus pumilus strain QST 2808",,,,,,,,,
"1702","Beauveria brongniartii (Saccardo) Petch, isolate Betel",,"<i>Beauveria tenella</i> (Saccado) McLeod Sensu","<i>Beauveria brongniartii</i> (Saccardo) Petch, isolate Bb96","<i>Beauveria brongniartii</i> (Saccardo) Petch, Swiss isolate",,,,,
"1703","Brevibacillus brevis",,"<i>Bacillus brevis</i>","<i>Aneurinibacillus migulanus</i>",,,,,,
"1704","Burkholderia cepacia",,"<i>Pseudomonas cepacia</i>","BCC","Bc",,,,,
"1705","Candida oleophila strain O",,,,,,,,,
"1706","Candida saitoana",,,,,,,,,
"1707","Chondrostereum purpureum",,"silver leaf fungus","Stereumpurpureum Fr.",,,,,,
"1708","Clonostachys rosea f. catenulate",,"<i>Gliocladium catenulatum</i>","<i>Clonostachys araucaria</i>","<i>Haplotrichum roseum</i>","<i>Penicillium roseum</i>",,,,
"1709","Colletotrichum gloeosporioidides f. sp. aeschynomene",,"Cga",,,,,,,
"1710","Colletotrichum gloeosporioides f. Sp. Cuscutae",,,,,,,,,
"1711","Colletotrichum gloeosporioides f. sp. malvae",,,,,,,,,
"1712","Cryphonectria parasitica",,"<i>Diaporthe parasitica</i> Murr.","<i>Valsonectria parasitica</i> Rehm","<i>Endothia parasitica</i> Anders","<i>Endothia parasitica</i>",,,,
"1713","Cryptococcus albidus",,"CBS No. 604.94","Filobasidiella",,,,,,
"1714","Cylindrobasidium laeve",,,,,,,,,
"1715","Entyloma ageratinae",,,,,,,,,
"1716","Erwinia carotovora",,"<i>Bacillus carotovorus</i> Jones","<i>Pectobacterium carotovorum</i> Jones",,,,,,
"1724","brassinolide",,"24-epibrassinolide ","R-epibrassinolide",,,,,,
"1731","Fenugreek seed powder",,"FEN 560","FEN560","Fenugreek",,,,,
"1749","formic acid",,"aminic acid","formylic acid","hydrogen carboxylic acid","hydroxymethanone","methanoic acid",,,
"1748","Aphelinus abdominalis",,"Aphid parasitic wasp",,,,,,,
"1941","Bacillus thuringiensis Berliner subsp. morrisoni","SAN418","<i>Bacillus thuringiensis</i> Berliner subsp. tenebrionis","<i>Bacillus thuringiensis</i> Berliner subsp. san diego","<i>Bacillus thuringiensis</i>","Bt","Btt",,,
"1942","Bacillus thuringiensis Berliner subsp. aizawai","SAN401","<i>Bacillus thuringiensis</i>","Bt","Bta",,,,,
"1943","Bacillus thuringiensis Berliner subsp. japonensis",,"<i>Bacillus thuringiensis</i>","Bt","Btj",,,,,
"1944","Bacillus thuringiensis Berliner subsp. israelensis","SAN402","<i>Bacillus thuringiensis</i>","Bt","Bti",,,,,
"1453","Agrobacterium radiobacter strain K84",,,,,,,,,
"1945","Beauveria brongniartii (Saccardo) Petch, isolate IMBST 95.031",,"<i>Beauveria tenella</i> (Saccado) McLeod Sensu","<i>Beauveria brongniartii</i> (Saccardo) Petch, Austrian isolate",,,,,,
"1946","ARF-18",,"Arkansas fungus","AR","Arkansas fungus 18",,,,,
"1947","Azospirillum brasilense",,"<i>Spirillum lipoferum</i> Beijerinck (Becking)",,,,,,,
"1948","Bacillus amyloliquefaciens MBI600",,"MBI 600","B. amyloliquefaciens MBI600","<i>Bacillus subtilis</i> (Ehrenberg) Cohn, isolate MBI 600","BUEXP17805",,,,
"1949","Bacillus amyloliquefaciens QST 713",,"QST-713","QRD 133","AQ 713","Bacillus subtilis QST 713","Bacillus velezensis QST 713",,,
"1950","Beauveria brongniartii (Saccardo) Petch, isolate IMBST 95.041",,"<i>Beauveria tenella</i> (Saccado) McLeod Sensu","<i>Beauveria brongniartii</i> (Saccardo) Petch, Austrian isolate",,,,,,
"1951","11-tetradecenol",,"Straight Chain Lepidopteran Pheromone","SCLP","Z11-14OH","insect sex pheromone",,,,
"1952","11-tetradecenal",,"Straight Chain Lepidopteran Pheromone","SCLP","Cotton bollworm sex pheromone",,,,,
"1953","5-decenyl acetate",,"Straight Chain Lepidopteran Pheromone","SCLP","(E)-dec-5-enyl acetate","Peach tree borer sex pheromone","(E)5-10Ac","Oriental fruit moth pheromone",,
"1954","(E)-dodec-8-enyl acetate",,"Straight Chain Lepidopteran Pheromone","SCLP","Oriental fruit moth sex pheromone","Z8-12Ac","Koa seed worm pheromone",,,
"1955","8-dodecenol",,"Straight Chain Lepidopteran Pheromone","SCLP","Oriental fruit moth sex pheromone","(Z)-dodec-8-enol","Koa seed worm pheromone",,,
"1956","5-decenol","BAS 287 1","Straight Chain Lepidopteran Pheromone","SCLP","Peach tree borer sex pheromone","(E)5-10OH","Oriental fruit moth pheromone",,,
"1957","(E)-11-tetradecenyl acetate",,"Straight Chain Lepidopteran Pheromone","SCLP","tetra-11-enyl acetate","Tea tortrix sex pheromone","Omnivorous leafroller pheromone","Sparganothris fruitworm pheromone",,
"1958","11-hexadecenal",,"Straight Chain Lepidopteran Pheromone","SCLP","Z11-16Al","(Z)-hexadec-11-enal","Artichoke plume moth sex pheromone","Asiatic rice borer sex pheromone",,
"1959","(Z)-11-tetradecenyl acetate","BAS 280 1","Straight Chain Lepidopteran Pheromone","Blackhead fireworm sex pheromone","Tortrix moth sex pheromone","Apple leaf roller sex pheromone","tetra-11-enyl acetate","SCLP","Pandemis leafroller sex pheromone","Codling moth sex pheromone"
"1960","multistriatin",,"European elm bark beetle sex pheromone",,,,,,,
"1961","1,7-dioxaspiro(5.5)undecane",,"Olive fly sex pheromone","olean",,,,,,
"1962","disparlure","ENT 34886","Gypsy moth sex pheromone","SHA 114301","cis-7,8-epoxy-2-methyloctadecane",,,,,
"1963","exo-brevicomin",,"Mountain pine aggregation pheromone","Western balsam bark beetle aggregation pheromone",,,,,,
"1964","trans-verbenol",,"Mountain pine beetle aggregation pheromone","verbenol",,,,,,
"1965","7,9-dodecadienyl acetate","BAS 288 1","Straight Chain Lepidopteran Pheromone","SCLP","E7Z9-12Ac","European grapevine moth sex pheromone","<i>Lobesia botrana</i> pheromone",,,
"1966","endo-brevicomin",,"Western balsam bark beetle aggregation pheromone",,,,,,,
"1967","cuelure","ENT 32833 ","Melon fly pheromone","cue-lure","Raspberry ketone acetate",,,,,
"1968","Fusarium oxysporum",,,,,,,,,
"1969","Helicoverpa armigera nucleopolyhedrovirus",,"<i>Helicoverpa armigera</i> NPV","HaMNPV","HaNPV","HearNPV",,,,
"1970","Helicoverpa zea nucleopolyhedrovirus",,"<i>Helicoverpa zea</i> NPV","HzMNPV","HzNPV",,,,,
"1971","Heterorhabditis bacteriophora",,"<i>Heterorhabditis heliothidis</i>",,,,,,,
"1972","Heterorhabditis megidis",,"<i>Heterorhabditis megidis</i> isolate UK211","<i>Heterorhabditis megidis</i> isolate HW79 (Dutch)",,,,,,
"1973","Hirsutella thompsonii",,"<i>Hirsutella thompsonii</i> ITCC 4962","<i>Hirsutella thompsonii</i> IMI 385470",,,,,,
"1974","Lagenidium giganteum",,,,,,,,,
"1975","Lymantria dispar nucleopolyhedrovirus",,"<i>Lymantria dispar</i> NPD","LdMNPV","LdNPV","Gipsy moth virus",,,,
"1976","Mamestra brassicae nucleopolyhedrovirus",,"<i>Mamestra brassicae</i> NPV","MbNPV",,,,,,
"1977","Mamestra configurata nucleopolyhedrovirus",,"<i>Mamestra configurata</i> NPV","bertha armyworm nucleopolyhedrovirus","McNPV",,,,,
"1978","Metarhizium anisopliae strain FI-1045",,"<i>Metarhizium anisopliae</i>","<i>Metarhizium anisopliae</i> Sorok","Green muscardine fungus",,,,,
"1979","Metarhizium anisopliae strain ICIPE 30","ICIPE 30","<i>Metarhizium anisopliae</i>","Green muscardine virus","<i>Penicillium anisopliae</i> Vuill","<i>Entomophthora anisopliae</i> Metsch",,,,
"1980","Metarhizium anisopliae strain ICIPE 69","ICIPE 69","<i>Metarhizium anisopliae</i>","Green muscardine virus","<i>Penicillium anisopliae</i> Vuill","<i>Entomophthora anisopliae</i> Metsch",,,,
"1981","Metarhizium anisopliae strain IMI 330189",,"<i>Metarhizium anisopliae</i>","Green muscardine virus","<i>Metarhizium anisopliae</i> var. anisopliae ","<i>Entomophthora anisopliae</i> Metsch","<i>Metarhizium flavoviride</i> Gams & Rozsypal",,,
"1982","Metarhizium anisopliae strain FI-985",,"<i>Metarhizium anisopliae</i>","Green muscardine virus","<i>Metarhizium anisopliae</i> var. anisopliae ","<i>Entomophthora anisopliae</i> Metsch","<i>Metarhizium flavoviride</i> Gams & Rozsypal",,,
"1983","Metarhizium flavoviride strain F001",,"<i>Metarhizium anisopliae</i>",,,,,,,
"1984","Myrothecium verrucaria",,,,,,,,,
"1985","Nosema locustae","SHA 117001",,,,,,,,
"1986","Orgyia pseudotsugata nucleopolyhedrovirus",,"<i>Orgyia pseudotsugata</i> NPV","OpNPV",,,,,,
"1987","Paenibacillus popilliae",,"<i>Bacillus popilliae</i>","Milky spore disease",,,,,,
"1988","Pantoea agglomerans",,"<i>Erwinia herbicola</i>","<i>Enterobacter agglomerans</i>",,,,,,
"1989","Pasteuria penetrans",,"<i>Bacillius penetrans</i>",,,,,,,
"1990","Phasmarhabditis hermaphrodita",,,,,,,,,
"1991","Phragmidium violaceum",,"Violet bramble rust","<i>Puccinia violacea</i>","Bramble leaf rust","<i>Uredo ruborum</i>","<i>Lecythea ruborum</i>",,,
"1992","Phytophthora palmivora",,,,,,,,,
"1993","Plodia interpunctella granulosis",,"IMMGV","Indian meal moth granulosis virus","Indian meal moth GV","<i>Plodia interpunctella</i> GV","PiGV",,,
"1994","Pseudomonas aureofaciens strain Tx-1",,,,,,,,,
"1995","Pseudomonas chlororaphis strain MA342",,,,,,,,,
"1996","Pseudomonas fluorescens ",,"<i>Bacillus fluorescens liquefaciens</i>","<i>Liquidomonas fluorescens</i>","<i>Pseudomonas lemonnieri</i>","<i>Pseudomonas schuylkilliensis</i>",,,,
"1997","Pseudomonas gladioli",,,,,,,,,
"1998","Pseudomonas syringae strain ESC-10",,"<i>Pseudomonas cerasi</i> Griff",,,,,,,
"1999","Pseudomonas syringae strain ESC-11",,"<i>Pseudomonas cerasi</i> Griff","<i>Pseudomonas syringae</i> strain L-59-66",,,,,,
"2000","Pseudozyma flocculosa strain PF-A22 UL ",,"<i>Sporothrix flocculosa</i>","<i>Stephanoascus flocculosa</i>",,,,,,
"2001","Puccinia chondrillina",,"Rush skeletonweed rust",,,,,,,
"2008","eugenol",,"clove oil","essential clove oil","5-allylguaiacol ",,,,,
"2009","ethylene",,"ethylene gas","olefiant gas","ethene",,,,,
"2011","sea algae extract",,"Marine algae extracts","Seaweed extract",,,,,,
"2012","terpinen-4-ol",,"Tea tree oil extract","Oil of Melaleuca","TTO","4-carvomenthenol ","4-terpinenol",,,
"2013","gamma-terpinene",,"Tea tree oil extract","Oil of Melaleuca","TTO","Crithmene",,,,
"2014","alpha-terpinene",,"Tea tree oil extract","Oil of Melaleuca","TTO","terpilene",,,,
"2015","alpha-terpineol",,"Tea tree oil extract","Oil of Melaleuca","TTO","Carvomenthenol","Terpenol",,,
"2016","alpha-terpinoline",,"Tea tree oil extract","Oil of Melaleuca","TTO","Isoterpinene","Tereben",,,
"2017","alpha-pinene",,"Tea tree oil extract","Oil of Melaleuca","TTO","monoterpenes",,,,
"2018","para-cymene",,"Tea tree oil extract","Oil of Melaleuca","TTO","Camphogen",,,,
"2019","1,8-cineole",,"Tea tree oil extract","Oil of Melaleuca","TTO","Eucalyptol",,,,
"2020","Sclerotinia sclerotiorum",,,,,,,,,
"2021","Serratia entomophila",,,,,,,,,
"2022","Spodoptera exigua nucleopolyhedrovirus",,"<i>Spodoptera exigua</i> NPV","SeMNPV","SeNPV","<i>Spodoptera exigua</i> nuclear polyhedrosis virus",,,,
"2023","Spodoptera litura nucleopolyhedrovirus",,"<i>Spodoptera litura</i> NPV","SiNPV","SaNPV","Beet armyworm virus",,,,
"2024","Spodoptera littoralis nucleopolyhedrovirus",,"<i>Spodoptera littoralis</i> NPV","SIMNPV","Egyptian cotton leafworm virus","African cotton leafworm virus","SpliNPV",,,
"2025","Steinernema carpocapsae",,"<i>Neoaplectana carpocapsae</i>","Beneficial nematode",,,,,,
