ID,Active,Reference,Solubility  in water at 20 DegC - mg/l,Solubility  in water at 20 DegC - quality barometer,Solubility in organic solvents at 20 DegC 1 - mg/l,Solubility in organic solvents at 20 DegC 1 - quality barometer,Solubility in organic solvents at 20 DegC 2 - mg/l,Solubility in organic solvents at 20 DegC 2 - quality barometer,Solubility in organic solvents at 20 DegC 3 - mg/l,Solubility in organic solvents at 20 DegC 3 - quality barometer,Solubility in organic solvents at 20 DegC 4 - mg/l,Solubility in organic solvents at 20 DegC 4 - quality barometer,Melting point  - deg C,Melting point - quality barometer,Boiling point at 1atm - deg C,Boiling point at 1atm - quality barometer,Thermal degradation temperature at 1atm - deg C,Thermal degradation temperature at 1atm - quality barometer,Flashpoint - deg C,Flashpoint - quality barometer,LogP,LogP - quality barometer,Vapour pressure - mPa,Vapour pressure - quality barometer,Henrys law constant Hd - Pa m3 mol-1,Henrys law constant Hd - quality barometer,General biodegradability,Soil DT50 typical - days,Soil DT50 typical - quality barometer,Soil DT50 lab - days,Soil DT50 lab - quality barometer,Soil DT90 lab - days,Soil DT90 lab - quality barometer,Soil DT50 field - days,Soil DT50 field - quality barometer,Soil DT90 field - days,Soil DT90 field - quality barometer,Soil DT50 modelling endpoint,Soil DT50 modelling endpoint - quality barometer,Soil DT50 notes,Kd - ml/g,Koc - ml/g,Kd & Koc - quality barometer,Kd & Koc - notes & range,Kf - ml/g,Kfoc - ml/g,Freundlich Exponent (1/n),Freundlich isotherm - quality barometer,Kf & Kfoc - notes & text,Koc pH sensitivity,Aqueous photolysis DT50 - days,Aqueous photolysis DT50 - quality barometer,Aqueous photolysis DT50 - notes,Aqueous Hydrolysis DT50 at pH7 - days,Aqueous Hydrolysis DT50 at pH7 - quality barometer,Aqueous Hydrolysis DT50 at pH7 - notes,Whole water-sediment system DT50 - days,Whole water-sediment system DT50 - quality barometer,Water phase DT50 - days,Water phase DT50 - quality barometer,Dissipation rate RL50 on plant matrix,On plant matrix RL50 - quality barometer,On plant matrix RL50 - notes,Dissipation rate RL50 on and in plant matrix,On and in plant matrix RL50 - quality barometer,On and in plant matrix RL50 - notes,Metabolite 1 - ID,Metabolite 1 - name,Metabolite 1 - reference,Metabolite 1 - formation medium,Metabolite 1 - estimated maximum occurrence,Metabolite 1 - Annex 1 relevant,Metabolite 2 - ID,Metabolite 2 - name,Metabolite 2  - reference,Metabolite 2 - formation medium,Metabolite 2 - estimated maximum occurrence,Metabolite 2 - Annex 1 relevant,Metabolite 3 - ID,Metabolite 3 - name,Metabolite 3 - reference,Metabolite 3 - formation medium,Metabolite 3 - estimated maximum occurrence,Metabolite 3 - Annex 1 relevant,Metabolite 4 - ID,Metabolite 4 - name,Metabolite 4 - reference,Metabolite 4 - formation medium,Metabolite 4 - estimated maximum occurrence,Metabolite 4 - Annex 1 relevant,Metabolite 5 - ID,Metabolite 5 - name,Metabolite 5 - reference,Metabolite 5 - formation medium,Metabolite 5 - estimated maximum occurrence,Metabolite 5 - Annex 1 relevant,Metabolite 6 - ID,Metabolite 6 - name,Metabolite 6 - reference,Metabolite 6 - formation medium,Metabolite 6 - estimated maximum occurrence,Metabolite 6 - Annex 1 relevant,Acid dissociation constant (Pka),pKa - quality barometer,pKa - detail,Bulk bensity (g/ml)/Specific gravity,Density - quality barometer,State,Max UV-VIS absorption - l mol-1 cm-1,Max UV-VIS absorption - quality barometer,Surface tension - mN/m,Surface tension - quality barometer,GUS,SCI-GROW
"2489","cis-3-(2,5-dimethylphenyl)-3-hydroxy-8-methoxy-1-azaspiro(4.5)decane-2,4-dione",,"288","A5",,,,,,,,,,,,,,,,,,,"2.21E-07","A5",,,,"5.3","A5","5.3","A5","22.9","A5",,,,,,,"EU dossier lab studies DT50 range  1.2-12.1 days, DT90 range 5.1-55.6 days","1.07","65.3","A5","EU dossier Kd range 0.529-2.28 mL/g, Koc range 43.1-99.7 mL/g, soils = 5","1.04","63.7","0.922","A5","EU dossier Kf range 0.516-2.21 mL/g, Kfoc range 41.0-99.1 mL/g, 1/n range 0.915-0.922, soils = 5","None",,,,,,,"Stable","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5904088221674","4.45740752776057E-03"
"2490","2-cis-1-(((2,5-dimethylphenyl)hydroxyacetyl)amino)-4-methoxycyclohexanecarboxylic acid",,"69.7","A5",,,,,,,,,,,,,,,,,,,"1.56E-09","A5",,,,"1.65","A5","1.65","A5","7.25","A5",,,,,,,"EU dossier lab studies DT50 range 0.2-3.9 days, DT90 range 1.0-18.1 days","0.11","9.58","A5","EU dossier Kd range 0.064-0.179 mL/g, Koc range 4.2-25.6 mL/g, soils = 5","0.108","9.3","0.948","A5","EU dossier Kf range 0.06-0.18 mL/g, Kfoc range 4.4-25.5 mL/g, 1/n range 0.80-1.07, soils = 5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.659306285300202","2.06214394867727E-03"
"2491","RS-beta-alanine, N-((1-methylethoxy)carbonyl)-L-valyl-3-(4-chlorophenyl)acid)","IR5839",,,,,,,,,,,,,,,,,,,,,,,,,,"0.69","A5","0.69","A5","2.2","A5",,,,,,,"EU dossier lab studies DT50 range 0.33-0.93 days, DT90 range 1.1-3.1 days","6.01","67.0","A5","EU dossier kd range 0.48-16.87 mL/g, Koc range 24-120 mL/g, soils= 3","5.0","62.8","0.954","A5","EU dossier Kf range 0.65-13.7 mL/g, Kfoc range 36.2-98.1 mL/g, 1/n range 0.919-0.972, soils =3","None",,,,"Stable","A5","pH4 & pH9: stable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.354860805645009","4.57303443897038E-04"
"2492","4-chlorobenzoic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,"1.9","A5","1.9","A5","6.4","A5",,,,,,,"EU dossier lab studies DT50 range 1.14-3.24 days, DT90 range 3.8-10.8 days","14.9","151","A5","EU dossier Kd range 0.43-41.5 mL/g, Koc range 19.1-296.5 mL/g, soils=3","13.6","152","0.973","A5","EU dossier Kf range 0.24-38.24 mL/g, Kfoc range 20-273.3 mL/g, 1/n range 0.931-0.995, soils=3","None",,,,"Stable","A5","pH4 & pH9: Stable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.50681764695587","1.09776532766651E-03"
"2493","2-(3-bromo-1-(3-chloro-2-pyridinyl)-1H-pyrazol-5-yl)-6-chloro-3, 8dimethyl-4(3H)-quinazolinone","IN-EQW78","0.0347","A5",,,,,,,,,,,,,,,,,,,,,,,,"769","A5","769","A5","2336","A5",,,,,,,"EU dossier Lab studies DT50 range 739-896 days, DT90 range 2150-2610 days, soils = 5","143.5","14851","A5","EU dossier Kd range 38.6-345.1 mL/g, Koc range 7468-22196 mL/g, soils = 5","122.9","10787","0.920","A5","EU dossier Kf range 22.2-400.8 mL/g, kfoc range 4499-22265 mL/g, 1/n range 0.880-1.03, soils = 3","None",,,,,,,"287","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9.49489353519744E-02","5.35307472937412E-03"
"2494","5-bromo-N-methyl-1H-pyrazole-3-carboxamide","IN-F6L99","199","A5",,,,,,,,,,,,,,,,,,,,,,,,"26","A5","26","A5","130","A5",,,,,,,"EU dossier lab studies DT50 range 13-45 days, DT90 range 73-259 days, soils = 5","1.46","237","A5","EU dossier Kd range 0.64-2.61 mL/g, Koc range 51-698 mL/g, soils = 5","0.93","151","0.897","A5","EU dossier Kf range 0.41-1.62 mL/g, Kfoc range 35-448 mL/g, 1/n range 0.880-0.904, soils =5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.57669908562062","0.146823043577513"
"2495","2-(3-bromo-1-(3-chloro-2-pyridinyl)-1H-pyrazol-5-yl)-6-chloro-8-methyl-4(3H)-quinazoline","IN-GAZ70","0.0098","A5",,,,,,,,,,,,,,,,,,,,,,,,"1320","A5","1320","A5","4822","A5",,,,,,,"EU dossier Lab studies DT50 range 809-3581 days, DT90 range 2460-12200 days, soils = 5","216","23165","A5","EU dossier Kd range 51-584 mL/g, Koc range 6396-35583 mL/g, soils = 5","110","23581","0.978","A5","EU dossier Kf range 31.5-160.3 mL/g, Kfoc range 3935-53417 mL/g, 1/n range 0.913-0.978, soils = 5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1.16260794613395","5.35307472937412E-03"
"2496","2,6-dichloro-4-methyl-11H-pyrido(2,1-beta)quinazolin-11-one","IN-ECD73","0.025","A5",,,,,,,,,,,,,,,,,,,,,,,,"2729","A5","2729","A5","15450","A5",,,,,,,"EU dossier Lab studies DT50 range 807-17633 days, DT90 range 2500-53100 days, soils =5","412","44073","A5","EU dossier Kd range 152-1053 mL/g, Koc range 25925-58495 mL/g, soils =5","429","29849","0.88","A5","EU dossier Kf range 39.7-1783 mL/g, Kfoc range 9966-99044 mL.g, 1/n range 0.77-1.09, soils = 5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1.63186042386621","5.35307472937412E-03"
"2497","3H-1,2,4-triazol-3-one, 2,4-dihydro-5-methoxy-4-methyl-","AE1277106",,,,,,,,,,,,,,,,,,,,,,,,,,"3.9","A5 (slow)","3.9","A5 (slow)",,,,,,,,,"EU dossier lab studies DT50[slow] range 1.3-7.4 days, DT50[fast] range 37.9-133.2 days ",,,,,"0.29","16.4","1.00","A5","EU dossier Kf range 0.07-0.76, Kfoc range 4.7-29.8 mL/g, 1/n range 0.97-1.03, soils = 5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.64620722646112","3.61094971886262E-03"
"2498","3-thiophenecarboxylic acid, 4-(aminosulfonyl)-5-methyl-, methyl ester","AE1364547",,,,,,,,,,,,,,,,,,,,,,,,,,"11.2","A5","11.2","A5","49.8","A5",,,,,,,"EU dossier lab studies DT50 range 5.0-31.2 days, DT90 range 17.3-83.0 days",,,,,"2.35","119","0.90","A5","EU dossier Kf range 0.41-7.07 mL/g, Kfoc range 33-221 mL/g, 1/n range 0.87-0.91, soils = 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.01917081188935","4.27576385023569E-02"
"2499","3-thiophene carboxylic acid, 4((((4,5-dihydro-3-methoxy-4-methyl-5-oxo-1H-1,2,4-triazol-1-yl)carbonyl)amino)sulfonyl)-5-methyl-","AE1394083",,,,,,,,,,,,,,,,,,,,,,,,,,"276.7","A5","276.7","A5",,,"19.0","A5","266.8","A5",,,"EU dossier lab study DT50 range 51.3-477.6 days, Field studies DT50 range 5.4-41.1 days, DT90 range 81.3-644.6 days, soils = 4",,,,,"0.252","14.3","0.919","A5","EU dossier Kf range 0.036-0.605 mL/g, Kfoc range 4.8-32.7 mL/g, 1/n range 0.802-0.980, soils =5",,,,,,,,"30.7","A5","104.9","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.6376242855923","0.404783094471657"
"2500","4-(aminosulfonyl)-5-methyl-3-thiophenecarboxylic acid","AE1395853",,,,,,,,,,,,,,,,,,,,,,,,,,"8.1","A5","8.1","A5",,,,,,,,,"EU dossier lab studies DT50 range 4.0=17.3 days",,,,,"0.18","7.8","0.74","A5","EU dossier Kf range 0.07-0.46 mL/g, Kfoc range 3.9-11.3 mL/g, 1/n range 0.58-0.97, soils = 5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.8234854935478","3.77146293082768E-02"
"1504","methyl N-(malonyl)-N-(2,6-xylyl)-Dalaninate",,,,,,,,,,,,,,,,,,,,,,,,,,,"86.8","A5","86.8","A5",,,,,,,,,"EU dossier DT50 range 54 to 157 days","12.82","376","A5","EU dossier Kd range 7.04-21.75mL/g; Koc range 151-521mL/g, soils=3","13.22","497","0.86","A5","EU dossier Kf range 8.41-18.15mL/g; Kfoc range 126-971 mL/g; 1/n range 0.892-0.915, soils = 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.52713885504075","0.168052254415821"
"2501","N-(malonyl)-N-(2,6-xylyl)-D-alanine",,,,,,,,,,,,,,,,,,,,,,,,,,,"117","A5","117","A5",,,,,,,,,"EU dossier","9.79","321","A5","EU dossier Kd range 1.71-16.10 mL/g, Koc range 80-756 mL/g, soils =3","7.63","206","0.95","A5","EU dossier Kf range 1.22-12.29 mL/g, Kfoc range 85.19-440.83 mL/g, 1/n range 0.821-1.049, soils = 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.48723597585927","0.636997191970296"
"2502","N-(phenylacteyl)-N-(2,6-xylyl)-D-alanine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.0","A5","8.0","A5",,,,,,,"EU dossier",,,,,"2.88","219","0.99","A5","EU dossier Kf range 2.28-4.07mL/g, Kfoc range 43-436 mL/g, 1/n rnage 0.957-1.067, soils = 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.49872830274144","1.54739936558284E-02"
"2503","2-((carboxyacetyl)((2R)-1-methoxy-1-oxo-2-propanyl)amino)-3-methylbenzoic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,"17.1","A5","17.1","A5",,,,,,,,,"EU dossier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2505","N-(2-(3-hydroxy-1,3-dimethyl-butyl)thiophen-3-yl)-1-methyl-3-trifluoromethyl-1H-pyrazole-4-carboxamide","753-T-OH",,,,,,,,,,,,,,,,,,,,,,,,,,"23.1","A5","23.1","A5","103","A5",,,,,,,"EU dossier DT50 range 13-52 days, DT90 range 42-172 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2506","N-(5-hydroxy-5-(1,3-dimethylbutyl)-2-oxo-2,5-dihydrothiophen-4-yl)-1-methyl-3-trifluoromethyl-1H-pyrazole-4-carboxamide","753-T-DO",,,,,,,,,,,,,,,,,,,,,,,,,,"25.9","A5","25.9","A5","101","A5",,,,,,,"EU dossier lab studies DT50 range 14.2-45 days, DT90 range 46-158 days","21.7","596.9","A5","EU dossier Kd range 6.0-32.8 mL/g, koc range 585-621 mL/g, soils=4","17.3","483.5","0.798","A5","EU dossier Kf range 5.0-25.8 mL/g, Kfoc range 460-510 mL/g, 1/n range 0.77-0.83, soils=4","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.85934214667486","5.82499161024914E-02"
"2507","(5-chloro-2-methoxy-4-methyl-3-pyridinyl)(3,4-dihydroxy-2-methoxy-6-methylphenyl)methanone","2MDPM","16.6","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"2527","5-(1-(S-methylsulfonimidoyl)ethyl)-2-(trifluoromethyl)pyridine","X11579457",,,,,,,,,,,,,,,,,,,,,,,,,,"140","A5","140","A5","627","A5","187","A5","620","A5",,,"EU dossier lab studies DT50 range 50.7-294 days, DT90 range 253->1000 days, Field studies Dt50 range 86.6-347 days, DT90 range 287-1151 days","0.19","14","A5","EU dossier Kd range 0.08-0.32 mL/g, Koc range 2-32 mL/g","0.33","22","0.82","A5","EU dossier Kf range 0.13-0.79 mL/g, Kfoc range 2-44 mL/g, 1.n range 0.43-1.02 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.03759472629584","17.8108983935048"
"2536","2-((dimethylamino)carbonyl)phenyl sulfamic acid","IR7863",,,,,,,,,,,,,,,,,,,"0.1","A3",,,,,,"56","A4","56","A4","185.5","A5",,,,,,,"EU dossier lab studies DT50 range 25-87 days, DT90 range 83-288 days, soils=2","0.122","3.53","A5","EU dossier Kd range 0.04-0.211 mL/g, Koc range 1.51-5.718 mL/g","0.122","nc","0.920","A5","EU dossier Kf range 0.102-0.160, Kfoc not calculated, 1/n range 0.761-1.021, soils=3","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.4891281620372","14.0268401547524"
"2537","N-(4,6-dimethoxypyrimidin-2-yl) urea","IR7825",,,,,,,,,,,,,,,,,,,"1.0","A4",,,,,,"63.5","A5","63.5","A5","211","A5",,,,,,,"EU dossier lab studies DT50 range 33-94 days, DT90 range 111-311 days","37","890","A5","EU dossier kd range 4-91 mL/g, Koc range 188-1854 mL/g, soils=3","56.7","nc","0.793","A5","EU dossier kf range 11-126 mL/g, Kfoc not calculated, 1/n range 0.761-0.817, soils=3","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.8166423517519","18.4889283783417"
"2538","1-(4-methoxy-6-hydroxypyrimidin-2-yl)-3-(2,(2-dimethylcarbomyl)phenylsulfomoyl)urea","IR 8181",,,,,,,,,,,,,,,,,,,"0.1","A4",,,,,,"36.9","A5","36.9","A5","122.2","A5",,,,,,,"EU dossier lab studies DT50 range 32.1-41.6 days, DT90 range 106.1-138.2 days","0.54","30.84","A5","EU dossier Kd range 0.11-0.86 mL/g, Koc range 5.6-53.7 mL/g, soils=3","4.9","nc","1.035","A5","EU dossier Kf range 4.58-5.25 mL/g, Kfoc not calculated, 1/n range 0.979-1.092, soils=2","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.40215819695436","5.45420625234714"
"2539","3-(4-hydroxyphenoxy)benzaldehyde",,,,,,,,,,,,,,,,,,,,,,,,,,,"17.5","A5","17.5","A5","58.3","A5",,,,,,,"EU dossier lab studies DT50 range 10.9-24.2 days, DT90 range 36.2-80.4 days, soils =2",,"324","A3","EU dossier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.85144922411884","5.03058721360438E-02"
"2546","4-(5-hydroxy-3-oxo-4(4-(trifluoromethoxy)phenyl)-6-(3-trifluoromethyl)phenyl)-2,3,4,5-tetrahydro-1,2,4-triazine-5-yl)benzonitrile","M320I23","0.014","A5",,,,,,,,,,,,,,,,,,,,,,,,"938","A5","938","A5",,,,,,,,,"EU dossier lab studies DT50 range 815 - >1000 days",,,,,"104","6360","0.985","A5","EU dossier Kf range 98-214 mL/g, Kfoc range 3050-15300mL/g, 1/n range 0.857-1.096, soils=7","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.584165318732994","0.0116117135818"
"3054","2-methoxy-6-(trifluoromethyl)pyridine","IN-QDY64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3055","propylene thiourea",,,,,,,,,,,,"201","V3",,,,,,,"-0.68","V3",,,"8.0E-08","A5",,"0.74","A5","0.74","A5",,,,,,,,,"EU 2015 dossier lab studies DT50 range 0.03-3.7 days, Soils=10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cannot be calculated","Cannot be calculated"
"3056","propineb-DIDT",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.5","A3","0.03","A5","0.7","A5",,,,,,,"Eu 2015 dossier lab studies DT50 range 0.006-0.09 days, DT90 range 0.18-1.09 days, Soils=4",,,,,,,,,,,,,,,,,"1.4","A5","1.4","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yellow solid",,,,,"Cannot be calculated","Cannot be calculated"
"3057","4-methyl-imidazoline hydrochloride",,,,,,,,,,,,,,,,,,,,,,,,,,,"2.3","A5","2.3","A5",,,,,,,,,"EU 2015 dossier lab studies DT50 range 1.7-2.8 days, Soils=4",,,,,"5.87","366.9","0.883","A5","EU 2015 dossier kf range 2.68-14.63 mL/g, Kfoc range 90.3-620.6 mL/g, 1/n range 0.871-0.902, Soils=5","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.519243049933023","1.13898187230538E-03"
"3058","4,5-dimethyl-2-(trimethylsilyl)thiophene-3-carboxamide","MON 65561",,,,,,,,,,,,,,,,,,,,,,,,,,"18.0","A5","18.0","A5","67.2","A5",,,,,,,"EU 2016 dossier lab studies DT50 range 4.92-32.1 days, DT90 range 25.6-143.0 days, Soils=7",,,,,"1.47","76","1.01","A5","EU 2016 dossier Kf range 0.66-2.15 mL/g, Kfoc range 60-94 mL/g, 1/n range 0.97-1.06, Soils=4","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.66015643079857","0.135097674573396"
"3059","4-(allylcarbamoyl)-3-methyl-5-(trimethylsilyl)thiophene-2-carboxylic acid","MON 65533",,,,,,,,,,,,,,,,,,,,,,,,,,"18.1","A5","18.1","A5","68.2","A5",,,,,,,"EU 2016 Dossier lab studies DT50 range 7.9-23.1 days, DT90 range 32.9-68.2 days, Soils=6","0.3","14","A5","EU 2016 dossier Kd range 0.2-0.4 mL/g, Kdoc range 12-16 mL/g, Soils=3","0.32","11","0.87","A5","EU 2016 dossier Kf range 0.13-0.67 mL/g, Kfoc range 4-16 mL/g, 1/n range 0.86-0.89, Soils=3","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.72097703132775","0.412043923993685"
"3060","4-carbamoyl-3-methyl-5-(trimethylsilyl)thiophene-2-carboxylic acid","MON 65534",,,,,,,,,,,,,,,,,,,,,,,,,,"35.7","A5","35.7","A5","131.4","A5",,,,,,,"EU 2016 dossier lab studies DT50 range 9.9-76.0 days, DT90 range 41.4-281.7 days, Soils=6","0.20","9.33","A5","EU 2016 dossier kd range 0.1-0.3 mL/g, Kdoc range 8-11 mL/g, Soils=3","0.37","15.4","1.01","A5","EU 2016 dossier kf range 0.11-0.64 mL/g, Kfoc range 3.2-15.0 mL/g, 1/n range 0.91-1.20, Soils=3","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.36684718523136","1.4126445926101"
"3066","2-(2-((2,4-dimethyl-3-thienyl)-((1S)-2-methoxy-1-methyl-ethyl)amino)-2-oxo-ethylsulfinylacetic acid",,,,,,,,,,,,,,,,,,,,,,,,,,,"60.2","A5","60.2","A5","211.9","A5",,,,,,,"EU 2016 dossier lab studies DT50 range 23.5-103.3 days, DT90 range 125.1-343.1 days, Soils=6",,,,,"0.1","10","-","a5","EU 2016 dosier Kf > 0.1 mL/g, Kfoc range 3-19 mL/g, 1/n not reported, Soils=10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.33878947377347","5.12966517195027"
"3074","3-hydroxy-4-methoxypyridine-2-carboxylic acid","X696476",,,,,,,,,,,,,,,,,,,"0.88","A5",,,,,"Not considered to be readily biodegradable","1000","A3","1000","A3",,,"1200","A4","17500","A4","5260","A3","EU 2018 dossier: Lab studies - No degradation of this metabolite was observed in soil. One field study ","701","33572","A5","EU 2018 dossier Kd range 292-1345 mL/g, Koc range 11042-87628 mL/g, Soils=5","254","11178","0.81","A5","EU 2018 dossier Kf range 93.8-495 mL/g, Kfoc range 3884-26044 mL/g, 1/n range 0.77-0.85, Soils=5","None",,,,,,,"1000","A5","1000","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.148921845959696","5.35307472937412E-03"
"3075","(3S,6S,7R,8R)-8-benzyl-3-(((3-hydroxy-4-methoxypyridin-2-yl)carbonyl)amino)-6-methyl-4,9-dioxo-1,5-dioxonan-7-yl 2-methylpropanoate","X642188",,,,,,,,,,,,,,,,,,,,,,,,,,"31.7","A5","31.7","A5","113.8","A5","12.4","A5","75.91","A5","31.7","A5","EU 2018 dossier: Lab studies DT50 range 7.7-227 days, DT90 range 25.6-267 days, Soils=4; Field studies: DT50 range 2.69-36.0 days, DT90 range 19.3-223 days, Soils=5","126.9","10040","A5","EU 2018 dossier: Kd range 34-259 mL/g, Kdoc range 2471-28825 mL/g, Soils=9","74","4518","0.934","A5","EU 2018 dossier: Kf range 21.5-303 mL/g, Kfoc range 1626-33614 mL/g, 1/n range 0.823-1.005, Soils=9","None",,,,,,,"3.5","A3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.377289278399735","7.80109705449774E-03"
"3076","N-((3-hydroxy-4-methoxypyridin-2-yl)carbonyl)serine","X12264475",,,,,,,,,,,,,,,,,,,,,,,,,,"105.4","A5","105.4","A5","181.2","A5","50.8","A4","326","A4","105.4","A5","EU 2018 dossier: Lab studies DT50 range 17.4-1000 days, DT90 range 57.8-294 days, Soils=4; Field studies DT50 range 6.09-95.6 days, DT90=326 days, Soils=2","9.37","424","A5","EU 2018 dossier: Kd range 6.93-13.3 mL/g, Kdoc range 167-867 mL/g, Soils=4","8.15","363.2","0.93","A5","EU 2018 dossier: Kf range 5.9-11.9 mL/g, Kfoc range 138-737 mL/g, 1/n range 0.90-0.970, Soils=5","None",,,,,,,"49","A5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.45619496278255","0.145275587352595"
"3077","N-((3S,7R,8R,9S)-7-benzyl-8-hydroxy-9-methyl-2,6-dioxo-1,5-dioxonan-3-yl)-3-hydroxy-4-methoxypyridine-2-carboxamide","X696872",,,,,,,,,,,,,,,,,,,,,,,,,,"31.0","A5","31.0","A5","70.3","A5",,,,,"31.0","A5","EU 2018 dossier: Lab studies DT50 range 10.7-86.1 days, DT90 range 35.5-286 days, Soils=4","24.7","1180","A5","EU 2018 dossier: Kd range 18.5-38.9 mL/g, Kdoc range 474-2528 mL/g, Soils=5","16.6","673","0.95","A5","EU 2018 dossier: Kf range 11.7-25.6 mL.g, Kfoc range 266-2869 mL/g, 1/n range 0.91-1.03, Soils=5","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.74785343896718","5.22705589259138E-02"
