ID,Active,Reference,Taxonomic classification,Substance source,Substance production,Target Pests,Uses,Target Host,Product 1,Manufacturer 1,Product 2,Manufacturer 2,Product 3,Manufacturer 3,Known to used in the following countries,Farming system suitability
"477","muscalure",,,"Isolated from female house flies","Manufactered for commercial use","Flies","Animal house insecticide",,"Maxforce Fly Spot bait","Bayer Environmental Science","Bonanza Fly bait","Control Solutions","Stimukil Fly Bait","Troy Biosciences Inc, USA","USA",
"485","nicotine",,,"Isolated from tobacco plants (<i>Nicotiana tabacum</i>) and from other plants including those belonging to the <i>Lycopodiaceae, Grassulaceae</i> & <i>Leguminosae</i> families","Usually manufactered for crop protection applications","Wide range of insects including aphids and thrips","Crop protection","Wide range of crops including fruit, vegetables, grapes and protected ornamentals","Nicotine 40% Shreds","Dow AgroSciences",,,,,,
"533","polyoxin B",,,"Isolated from the soil bacterium <i>Streptomyces cacaoi</i> var asoensis","Produced by controlled fermentation","Various plant pathogenic fungi including powdery mildews","Crop protection","Top fruit, vegetables and ornamentals","Polyoxin AL","Kumiai Chemical Industry Co., Ltd.",,,,,,
"588","scilliroside",,,"Extracted from the Mediterranean squill plant",,,,,,,,,,,,
"596","spinosad","XDE 105",,"Secondary metabolites of the Gram-positive soil bacterium <i>Saccharoployspora spinosa</i>","Fermentation of the organism is followed by whole broth extraction","Very wide range of insects including caterpillars, leaf miners, beetles, thrips and lice","Crop protection","A wide variety of crops including vegetables, top fruit, vines and ornamentals","Spinoace 12SC","Dow AgroSciences","Entrust Naturalyte","Dow AgroSciences",,,"Mexico, Australia","Suitable for use in organic farming and for IPM where approved for use in that country"
"670","trimedlure",,,"A synthetic analogue of a natural kairomone","Manufactured for crop protection applications","Mediterranean fruit fly","Crop protection","Mainly used on citrus crops","Trimedlure Magnet Plug (BF L076)","AgriSense","FT Trimedlure","FarmaTech",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"677","validamycin",,,"Originally isolated from the soil actinomycete <i>Streptomyces hygroscopicus</i>","Produced for commerical purposes by controlled fermentation","Rhizoctonia species","Crop protection","Various crops including rice, potatoes, vegetables, soft fruit, sugar beet and cotton.","Validacin ","Sumitomo Chemical Takeda","Vivadamy","Vipseco",,,,
"1022","codlemone","BAS 2851",,"Sex pheromone of the female codling moth (<i>Cydia pomonella</i> Linnaeus)","Manufactered for use in crop protection","Codling moth (<i>Cydia pomonella</i>), Hickory shuckworm (<i>Cydia caryana</i>)","Crop protection","Top fruit, citrus, stone fruit, nuts & ornamentals","Checkmate CM-F","Suterra","Isomate CTT","BioGlobal","Hercon Disrupt II","Hercon Environmental","USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"1069","cinnamaldehyde",,,"Substance occurs as the major component of oil found in cassia plants (<i>Cassia tora</i>)","For commercial use the oil is extracted from fresh seeds of <i>cassia tora</i> or manufactured.","Various <i>Verticillium spp., Pythium spp., Fusarium moniliforme</i>, repellent for cats and dogs","Crop protection; animal insecticide","Various crops including mushrooms and row crops, horticultural production, turf, pine forests","Vertigo Fungicide","Monterey","Cinnacure A3005","Proguard",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1169","bilanafos","MW 801",,"Isolated from the soil bacterium <i>Streptomyces hygroscopicus</i> (Jensen) Waksman & Henrici and <i>Streptomyces viridochromeogenes</i> (Krainsky) Waksman & Henrici","Produced by controlled fermentation usually as the sodium salt","A wide range of post-emergence annual and perennial broad-leaved weeds in a variety of crops.","Crop protection","Vines, apples, bush fruit and others",,,,,,,,
"1170","bilanafos-sodium",,,"Originally isolated from the soil-inhabiting actinomycete S hygroscopicus",,,,,,,,,,,,
"1198","gossyplure","PP761",,"Sex pheromone of the pink bollworm isolated from females","Manufactered for crop protection applications","Pink bollworm (<i>Pectinophora gossypiella</i>)","Crop protection","Cotton","Nomate PBW","Scentry","Decoy PBW","Certis",,,,
"1106","indolylacetic acid","auxins",,"A plant auxin that is produced in cells in the buds and young leaves of plants","Manufactered for use in agriculture","None - PGR","Yield enhancement","Ornamentals","Rhizopon AA","Hortus USA","1H-Indole-3-acetic acid, 99+%","Acros Organics BVBA",,,"USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"1324","6-benzyladenine   ","ABG-3191",,"A naturally occurring plant substance but synthetic versions are used in cropping situations","Manufactered for agricultural appications","None - PGR","Yield enhancement","Fruit trees, ornamentals, cereals and others","Promalin","Valent BioSciences","Perlan","Fine Agrochemicals",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1325","blasticidin-S","BcS-3",,"Isolated from the inhibiting soil actinomycete <i>Streptomyces griseochromogenes</i>","Produced by controlled fermentation","Rice blast","Crop protection","Rice","Bla-S","Nihon Nohyaku",,,,,,
"1328","polynactins",,,"A mixture of the secondary metabolites tetranactin, trinactin and dinactin of the bacterium <i>Streptomyces aureus</i>","Manufactered by controlled fermentation","Various mites including the spider mite, European red mite and two-spotted mite","Crop protection","Top fruit","Mitedown","Eikou Kasei",,,,,,
"1329","sabadilla","ENT 123 ",,"Substance derived from the seeds of the Sabadilla plant (<i>Schoenocaulon officinale</i>) found in Central and South America","Seeds are crushed and concentrated such that around a 4% concentration of alkaloids is achieved","Mainly used to control mites but shows some activity against other pests such as harlequin bugs, squash bugs, & blister beetles ","Crop protection","Citrus, avocado, mangos","Veratran D","Dunhill",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1359","citric acid anhydrous",,,"A component of all citrus fruit","Extracted from citrus fruit for use in organic farming also manufactured","Wide range of insects including ants, aphids, beetles, mealybugs and mites","Crop protection","Vegetables, fruit trees and ornamentals","Citric acid","T.J. Baker","Sharpshooter","St. Gabriel",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1382","jasmone",,,"Extracted from volatile oils found in jasmine (<i>Jasminum</i>) flowers","Via solvent extraction","Aphids, whitefly","Crop protection","Wheat, vegetables, potatoes, protetced crops and others","cis-Jasmone","Extrasynthese","cis-Jasmone","SAFC Global","cis-Jasmone","Takasago",,
"1383","pentacosane",,,"A substance that occurs naturally in most insects","Extracted from beeswax but also found in other natural waxes","Aphids","Crop protection","Vegetables","n-Pentacosane","Fine Chemicals","n-Pentacosane","MP Biomedicals",,,,
"1385","p-menthane-3,8-diol",,,"Occurs naturally in the oil within leaves of the <i>Eucalyptus citriodora</i> tree","Chemically synthesised for commercial use","Various flying insects including mosquitoes, gnats and black flies","Public health applications",,"Mosi-Guard Natural","Mosi-Guard International",,,,,"UK, Australia",
"1386","farnesene",,,"Beta farmesene is a consitutuent of various essential oils, an aphid alarm pheromone and is also produced by some plants, including those of the Solanaceae family, as natual insect repellents ","Manufactered for crop protection uses","Aphids - attracts aphid parasitoids, lacewing (<i>Chrysoperla carnea</i>)",,,"None identified","None identified",,,,,,
"1387","octanal",,,"Found in most fruit and vegetables in low quantities","Synthesised for commercial applications","Mosquitoes",,,"Aldehyde C8","Innospec Widness Ltd","1-Octanol","Kao Chemicals Europe",,,,
"1388","nepetalactone",,,"First iolated from the catnip plant (<i>Nepeta cataria</i>) but also found in the wood of honeysuckle (<i>Lonicera tatarica</i>)","Manufactered for commerical applications","Cockroaches, mosquitoes, common flies, aphids",,,,,,,,,,
"1389","tricosane",,,"Semiochemical - emitted by insects to act as a repellent or attractant",,"Aphids, aphid parasitoids, mosquitoes",,,,,,,,,,
"1390","ocimene",,,"Substance produced by a variety of plants and fruits",,,,,"Ocimene PQ","Innospec Widness Ltd",,,,,,
"1391","4-allylanisole",,,"Produced by certain confier trees in response to wounding or poor environmental conditions and is also present in large quantities in certain herbs such as basil, fennel and tarragon",,"Bark beetles including southern pine beetle","Forestry","Conifer trees","Beetleball Technical","Taensa, Inc.",,,,,,
"1392","9-tetradecenyl acetate",,,"One of many chemicals isolated from whole body extracts of the female beet armyworm (<i>Spodoptera exigua</i>).","Synthesised for commerical use","Various insects belong to the Lepidoptera order including the codling moth (<i>Cydia pomonella<i>), pandemis leafroller (<i>Pandemis pyrusana</i>) and the fruit tree leafroller (<i>Archips argyrospilus</i>)","Crop protection","Wide variety of crops including vegetables, top fruit, stone fruit & soft fruit","Isomate CM/LR TT","Pacific Biocontrol Corporation","Distrupt FAW","Hercon Environmental Corp","DKSH Phermone dispnser","DKSH",,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1393","putrescine",,,"Produced naturally during the breakdown of aminoacids in living and dead organisms, first isolated from putrifying meat","Produced large scale by hydrogenation of succinonitrile","Various fruit flies, including the mexican fruit fly, and fungal gnats","Crop protection","Fruit","1,4-Diaminobutane, 99% ","Acros Organics, belgium","Biolure Med Fly","Biolure",,,"Spain",
"1394","Beauveria bassiana strain ATCC 74040 ","F-7744","Class: Ascomycetes; Order: Hypocreales; Family: Moniliaceae","An entomopathogenic soil organism that occurs naturally throughout the world","Produced by fermentation for plant protection applications","Whiteflies, thrips, aphids, capsids, crickets and other sucking insects","Crop protection","Vegetables, maize, ornamentals, cotton, turf, sugarcane, strawberries, tobacco","Naturalis-L","Fargro Ltd","Botaniguard 22WP","Laverlam International","Beauveria bassiana","Arbico","India, France, Spain, India, Japan, Russia, Mexico, USA, South Africa, China",
"1400","Paecilomyces lilacinus strain 251","PBP 01001-1","Class: Sordariomycetes; Order: Hypocreales; Family: Ophinocyrdycipitaceae","A widespread soil fungus first isolated from the eggs of a root-knot nematode","Produced by controlled fermentation","Various plant parasitic nematodes including root knot, root lesion and potato cyst nematodes","Crop protection","Wide range of crops including vegetables, potatoes, tropical fruit and cotton","Paecilomyces Lilacinus 1% WP","Neem products","Peacilo Liquid","Sun Agro Biosystem Pvt. Ltd.","BioAct WG","PROPHYTA Biologischer Pflanzenschutz GmbH","Turkey, United States, South Africa, Kenya, China, India","Suitable for use in organic farming and for IPM where approved for use in that country"
"1401","Phlebiopsis gigantea",,"Class: Basidiomycetes; Order: Polyporales; Family: Phanerochaetaceae","A common and widely distributed fungus originally isolated from Norway spruce","Produced by fermentation. Products comprised of one or more of three strains: VRA 1835, VRA 1984; PG 410.3","Root and butt rot caused by <i>Heterobasidion annosum</i>","Crop protection; Forestry","Conifers, specifically pine and spruce trees","Rotstop","Verdera Oy",,,,,,
"1402","Lecanicillium lecanii",,"Class: Ascomycetes ","A genus of fungi that occurs widely in nature and was orginally isolated from aphids and whiteflies","Specific isolates are cultured, concentrated and dried in a process developed for commercial use of the fungus","Sucking insects especially whitefly, aphids and to a lesser extent thrips","Crop protection","Mainly on protected glasshouse crops","Mycotal","Koppert Biological Systems","Bio-Catch","T-Stanes & Co Ltd","Vertalec","Koppert Biological Systems","Finland, Switzerland, Japan, Europe, Turkey, New Zealand","Suitable for use in organic farming and for IPM where approved for use in that country"
"1403","Cydia pomonella granulosis virus",,"Family: Baculoviridae; Order: Granuloviruses","Occurs widely in nature and is isolated from codling moth larvae (<i>Cydia pomonella</i>)","Harvested from codling moth larvae artifically infected with the virus","Codling moth (<i>Cydia pomonella</i>)","Crop protection","Top fruit, walnuts","Granupom","Biobest Sustainable Crop Management","Carpovirisine","Natural Plant Protection (N.P.P.)","Madex","Andermatt Biocontrol","Western Europe (many countries), USA, Canada, New Zealand","Suitable for use in organic farming and for IPM where approved for use in that country"
"1454","precocene II",,,"Compound derived from the annual bedding plant <i>Ageratum houstonianum</i>",,"Range of insects including cockroaches, aphids, beetles and ticks",,,"None identified","None identified",,,,,,
"1463","citronella oil ",,,"A plant essential oil obtained from the leaves and stems of different species of <i>Cymbopogon</i>","Various techniques used including steam distillation of the grass of <i>Cymbopogon nardus</i>","Various insects including body lice, gnats, flies, wasps and dengue fever mosquito (<i>Aedes aegypti</i>); Ragwort","Public hygiene applications; public and amenity grass management","Grass, rough areas, greencover","Barrier H","Barrier Biotech Ltd","Citronella Sticks","PIC Corporation","OFF! Citronella candle","S.C. Johnson and Son Ltd","USA",
"1464","Coniothyrium minitans",,"Class: Ascomycetes; Order: Pleosporales; Family: Leptosphaeriaceae","A widespread soil fungus anamorphic <i>Leptosphaeriaceae</i>","Produced by solid state fermentation","<i>Sclerotinia sclerotiorum</i> and <i>Sclerotinia minor</i>","Crop protection","A wide variety of crops including oilseed rape and salads","Cotans WG","Belchim Crop Protection","Koni WG/WP Biological Fungicide","Bioved, Hungary","Cotans WG","Prophyta Biologischer Pflanzenschutz GmbH","USA, Canada","Suitable for use in organic farming and for IPM where approved for use in that country"
"1465","indolylbutyric acid",,,"A plant hormone of the auxin family - some reports say its synthetic others report its isolation from leaves and seeds of maize, and from the salix (willow) genus","Synthesised for commercial use","None - PGR","Yield enhancement","Plant cuttings for rooting","Indole-3-butyric acid","Mallinckrodt Baker","Indole-3-butyric acid Rooting Powder","Research Products International","Hormex Rooting Powder #8","Brooker Chemical Corps",,
"1468","nuranone","AI3-38648",,"A sex pheromone produced by female Japanese beetles <i>Popillia japonica</i> Newman (Scarabaeidae, Coleoptera)","Manufactured for commerical use","Japanese beetles (<i>Popillia japonica</i>)","Crop protection","Ornamental and horticultural crops, turf","Bag-A-Bug","Spectracide","BioLure Japanese Beetle Trap","Arbico",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1525","Paecilomyces fumosoroseus strain FE9901",,"Class: Eurotiomycetes; Order: Eurotiales; Family: Trichocomaceae","A naturally occurring fungus that is found in soils around the world, including Europe, Asia, Africa and the USA. Frequently isolated from lepidopteran cadavers in Europe","Manufactured for crop protection applications using fermentation.","Wide variety of insects including aphids, thrips, mealybugs, leafhoppers, spidermites, weevils and grasshoppers","Crop protection","Ornamentals and food crops in glasshouses","NoFly WP","Natural Industries Inc.","Futureco Nofly","Futureco Bioscience","Paecilomyces fumosoroseus","Certis","USA, South Korea","Suitable for use in organic production and for IPM where approved for use in that country"
"1526","Adoxophyes orana granulovirus",,"Class: Baculovirus; Order: Granuloviruses","Widespread natural occurance, originally isolated from infected summer fruit tortrix moth larvae (<i>Adoxophyes orana</i>)","Produced commercially on larvae of the moth","Summer fruit tortrix larvae <i>Adoxophyes orana</i>","Crop protection","Mainly top fruit","Capex","Andermatt Biocontrol GmbH",,,,,"Austria, Germany, Italy, Switzerland","Suitable for use in organic farming and for IPM where approved for use in that country"
"1623","2,6-diisopropylnaphthalene",,,"Substance does not occur naturally but is identical functionally and structually to a naturally occuring PGR in potatoes.",,"None - PGR","Crop protection; yield enhancement","Stored potatoes in warehouses","Amplify Sprout inhibitor","Loveland Products",,,,,"USA",
"1626","methyl anthranilate",,,"Extracted from a wide range of plants including grapes, neroli, wisteria, oranges and ylang ylang. Also secreted by the musk glands of foxes and dogs",,"Birds","Crop protection; leisure - golf courses","Maize, rice, fruit ","Methyl Anthranilate","Lansdowne Aromatics","Bird Shield Repellent Concentrate","BSRC","EcoBird 4.0","Roth Chemical Company, USA","USA",
"1627","6-isopentenyl aminopurine",,,"Occurs naturally in a wide variety of plants","Extracted from seaweed","Mainly used as a PGR, but also active against nematodes","Crop protection; yield enhancement","Wide variety of crops, trees and ornamentals","Organic Triggrr","Westbridge Agricultural Products","X-Cyte","Stoller Enterprises Inc","Foli-Zyme","Stoller USA","USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"1628","kinetin",,,"Naturally occuring plant hormone, furanyl adenine found in various plants and fungi","Extracted from seaweed","Mainly used as PGR, also active against nematodes","Crop protection; yield enhancement","Variety of crops, fruit, trees and ornamentals","Kinetin","Carolina Biological Supply Company","Kinetin","BioSynth AG","KineTin 99%","Acros Organics BVBA",,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1629","zeatin",,,"A plant hormone belonging to the cytokinins family that was originally isolated from obtained from the kernels of sweet corn (<i>Zea mays</i>).","Extracted directly from plant tissue or from seaweed for commercial products","Mainly used as PGR, also active against nematodes","Crop protection; yield enhancement","Variety of crops, fruit, trees and ornamentals","Zeatin","Duchefa Biochemie BV, NL","Cytex","Atlantic and Pacific Research",,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1630","capsaicin","NCI-C56564",,"Derived from plants belonging to the genus Capsicum including the Capsicum red chili pepper","Extracted from Capsicum plants","Mammals and insects","Crop protection; household pest control; land management","Vegetables, turf, ornamentals","Capsaicin","Aversion Technologies Inc., USA","Hot Pepper Wax Natural Insect Repellent","Hot Pepper Wax, Inc. ","Amorex","Soil Technologies","USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"1686","Isaria fumerosa Apopka strain 97",,"Genus: Paecilomyces, Family: Deuteromycotina, Section: Isarioidea, Class: Sordariomycetes, ","Isolated from Phenococcus solani Ferris (mealy bug), on gynura in a greenhouse located in Apopka. Globally widespreadin soils.","Produced by controlled fermentation","Whitefly but exhibits activity against other pests including aphids, thrips and mites.","Crop protection","Greenhouse crops","Preferal WG","Biobest Biological Systems","PFR-97TM 20% WDG","Certis",,,"Europe, Japan, India, Mexico, USA","Suitable for use in organic farming and for IPM where approved for use in that country"
"1690","anabasine",,,"A botanical pyridine alkaloid similar to nicotine that is found in the shoots of <i>Anabasis aphylla</i> and in the tree tobacco (<i>Nicotiana glauca</i>) plant","Extracted industrially from plants in Russia, no longer produced in Europe",,"Largely obsolete",,"None identified","None identified",,,,,,
"1691","Amblyseius californicus",,"Class: Arachnida; Order: Acarina; Family: Phytoseidae","A spider mite predator <i>Amblyseius</i> (Neoseiulus) <i>californicus</i> found in mediterranean and tropical climates","The predatory mites are collected from leaves in a production system that rears the mites on plants such as legumes","The insect family <i>Tetranychidae</i> including the Red Spider Mite, Two-Spotted Spider Mite, Tarsonemid Mites and Carmine Mite","Crop protection","Protected crops grown at elevated temperatures and some field crops where temperatures are high","Amblyline cal","Syngenta Bioline","Californicus-System","Biobest","Ambsure","Certis","USA",
"1694","Agrobacterium radiobacter strain K1026",,"Class: Alphaproteobacteria; Order: Rhizobiales; Family: Rhizobiaceae","A simple genetic modification of the naturally occurring and widespread bacterium <i>Agrobacterium radiobacter</i> strain K84 that is found in soil and near plant roots","For crop protection applications it is produced by controlled fermentation","Bacteria that cause crown gall infections e.g. <i>Agrobacterium tumefaciens</i> & <i>Agrobacterium rhizogenes</i>","Crop production - germinating seeds, stems and roots, cuttings ","Wide variety of crops including top and soft fruit, nuts and ornamentals ","NoGall","New Bioproducts Inc, USA",,"Becker Underwood Pty Ltd.",,,"Australia, USA, South Africa, China, New Zealand","Suitable for use in organic farming and for IPM where approved for use in that country"
"1695","Ampelomyces quisqualis strain AQ10",,"Family: Phaeosphaeriaceae; Order: Pleosporales; Class: Ascomycetes; ","A naturally occuring fungus that is a hyperparasite of powdery mildews initially isolated from powdery mildew parasitising Catha edulis in Israel.","Via a microbiological procedure developed specific for crop protection applications","Specific to powdery mildews (<i>Erysiphales</i>)","Crop protection","Grapes, apples, strawberries, tomatoes and ornamentals","AQ10","Ecogen Corporation","Bio-Dewcon","T. Stanes & Co Ltd",,,"Europe, India, South Africa, Kenya, South Korea","Suitable for use in organic farming and for IPM where approved for use in that country"
"1696","Anticarsia gemmatalis nucleopolyhedrovirus",,"Class: Baculoviridae; Order: Nucleopolyhedrovirus","A naturally occurring bacterium originally isolated from the Velvetbean caterpillar (<i>Anticarsia gemmatalis</i>) a significant pest of soybean crops in the USA.","Produced via in vivo culture in <i>Anticarsia gemmatalis</i>","Velvetbean caterpillar but an isolate found to be active against the sugar cane borer <i>Diatraea saccharalis</i>","Crop protection","Soybeans, sugar cane","None identified","None identified",,,,,"Brazil","Suitable for use in organic farming and for IPM where approved for use in that country"
"1698","Anagrapha falcifera nucleopolyhedrovirus",,"Class: Baculoviridae; Order: Nucleopolyhedrovirus","The baculovirus was originally isolated from the alfalfa looper (<i>Anagrapha falcifera</i>) (Kirby)","Commercial production nurtures the virus in living caterpillars in a controlled environment","Lepidopteran larva including the cotton bollworm and tobacco budworm.","Crop protection","Vegetables, fruit, ornamentals, maize, cotton","Anagrapha falcifera NPV","Certis",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1699","Autographa californica nucleopolyhedrovirus",,"Class: Baculoviridae; Order: Nucleopolyhedrovirus","A widespread bacterium that was originally isolated from alfalfa Looper (<i>Autographa californica</i>), a moth of the <i>Noctuidae</i> family","Produced commerically by in vivo culture in <i>Lepidopteran</i> larvae","Specific to Lepidopteran larvae","Crop protection","Maize, fruit, vegetables and ornamentals","VPN 80","Agrocola El Sol",,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1700","Bacillus firmus",,"Class: Bacilli; Order: Bacillales; Family: Bacillaceae ","A naturally occurring soil bacterium which possesses nematicidal activity. Strain originally isolated from agricultural soil in Israel.","Produced commerically by fermentation","Plant-parasitic nematodes","Crop protection; leisure - golf courses","Vegetables, fruit, herbs, cotton, ornamentals, turf","Chancellor","Agrogreen Biological Division","Poncho Votivo","Bayer CropScience","Nortica","Bayer Environmental Science",,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1712","Cryphonectria parasitica",,"Class: Ascomycetes; Order: Diaporthales; Family: Valsaceae","A non-pathogenic strain of the fungus originally isolated from a chestnut tree in France. ","Produced by fermentation","Chestnut blight fungus (<i>Crphonectria parasitica</i>)","Forestry and tree management","Chestnut trees <i>Castanea spp.</i>","None identified","None identified",,,,,,
"1713","Cryptococcus albidus",,"Class: Tremellomycetes; Order: Tremellales; Family: Tremellaceae ","A widespread yeast originally isolated from peach juice.","Produced by fermentation and dried","Storage rot fungi particularly <i>Penicillium spp., Mucor spp.</i> and <i>Botrytis spp.</i>","Crop protection - storage; post-harvest treatment","Top fruit - apples and pears","YieldPlus","Anchor Bio-technologies",,,,,,
"1714","Cylindrobasidium laeve",,"Class: Basidiomycetes; Order: Polyporales; Family: Meruliaceae ","A widespread pathogenic fungus originally isolated from dead wattle bushes in South Africa. Also found on dead wood, usually from deciduous trees.","Produced by liquid fermentation","Black (<i>Acacia mearnsii</i> de Wild.) and Golden Wattle (<i>Acacia pycnantha</i> Benth.)","Land management e.g. of rangeland, woodland - to prevent regrowth of cut stumps","Tree stumps, Deadwood","StumpOut","ARC - Plant Protection Research Institute",,,,,"Australia",
"1715","Entyloma ageratinae",,"Class: Ustilaginomycetes; Order: Entylomatales; Family: Entylomataceae","A white smut fungus (<i>Ustilaginales</i>) originally found in the Jalapa (Vera Cruz) region of Mexico and introduced into Hawaii from Jamaica","Usually extracted from the plant <i>Ageratina riparia</i>","<i>Ageratina riparia</i>","Forestry; woodland mangement; land management","Forests, amenity grassland and rangeland","None identified","None identified",,,,,,
"1716","Erwinia carotovora",,"Class: Gamma Proteobacteria; Order: Enterobacteriales; Family: Enterobacteriaceae","A non-pathogenic isolate of the Gram-negative bacterium <i>Erwinia carotovora</i> originally isolated from Chinese cabbage","Produced by fermentation","Soft rot (<i>Erwinia carotovora</i> Holl.)","Crop protection","Chinese cabbage","Biokeeper WP","Nissan",,,,,,
"1724","brassinolide",,,"A biologically active steroidal lactone first isolated from rape (<i>Brassica nauous</i> L.) pollen",,,"Growth promotion","Fruit including apples; pears, citrus; Rice; Wheat; Corn; Tomatoes: Cucumber; Lettuce",,,,,,,,
"1731","Fenugreek seed powder",,,"Botanical substance isolated from the Fenugreek plant (<i>Trigonella Foenum-graecum L.</i>) that belongs to the family <i>Fabaceae</i> and found worldwide in semi-arid areas.",,"Powdery mildew (<i>Uncinula necator</i>)","Crop protection","Grape vines","Stimulia FG","Société occitane de fabrications et de technologie",,,,,,
"1749","formic acid",,,,,,,,,,,,,,,
"1748","Aphelinus abdominalis",,"Order: Hymenoptera; Family: Aphelinidae","A parasitic wasp that is widespread and common across most of Europe and Asia","Produced commerically by rearing under controlled conditions in insectaries.","All aphids species but, in particular, the larger species such as <i>Macrosiphum euphorbiae</i>","Crop protection","Vegetables and ornamental crops","Aphel-line a","Syngenta Bioline","Aphelinus system","Biobest Biological Systems","Aphelline ab","Syngenta Bioline",,
"1941","Bacillus thuringiensis Berliner subsp. morrisoni","SAN418","Class: Bacilli; Order: Bacillales; Family: Bacillaceae","Isolates occur widely in soils and in most insect-rich environments","Produced commercially by controlled fermentation. Spores harvested for formulation into final point-of sale product","Coleoptera, particularly the Colarado potato beetle",,"Potatoes",,,,,,,,"Suitable for use in organic farming and for IPM where approved for use in that country"
"1942","Bacillus thuringiensis Berliner subsp. aizawai","SAN401","Class: Bacilli; Order: Bacillales; Family: Bacillaceae","Isolates occur widely in soils and in most insect-rich environments","Produced commercially by controlled fermentation. Spores harvested for formulation into final point-of sale product","Caterpillars particularly Spodoptera group of <i>Lepidoptera</i>","Crop protection","Vegetable, Fruit and others","Bacillus thuringiensis aizawai","Arbico","Bacillus thuringiensis aizawai","Beneficial Insect Company","Bacillus thuringiensis aizawai","Valent Biosciences","USA, South Africa, Kenya, China, Australia, New Zealand","Suitable for use in organic farming and for IPM where approved for use in that country"
"1943","Bacillus thuringiensis Berliner subsp. japonensis",,"Class: Bacilli; Order: Bacillales; Family: Bacillaceae","Isolates occur widely in soils and in most insect-rich environments","Produced commercially by controlled fermentation. Spores harvested for formulation into final point-of sale product","Soil beetles",,"Grass, Ornamentals",,,,,,,,
"1944","Bacillus thuringiensis Berliner subsp. israelensis","SAN402","Class: Bacilli; Order: Bacillales; Family: Bacillaceae","Isolates occur widely in soils and in most insect-rich environments","Produced commercially by controlled fermentation. Spores harvested for formulation into final point-of sale product","Diptera species such as mosquito larvae, fungus gnats, blackfly larvae","General pest management","Water environments, glasshouses, mushroom houses","Bacillus thuringiensis israelensis","Arbico","Bacillus thuringiensis israelensis","Beneficial Insect Company","Vectobac (Gnatrol)","Valent Biosciences Corp","India, USA, South Africa, China, Australia","Suitable for use in organic farming and for IPM where approved for use in that country"
"1453","Agrobacterium radiobacter strain K84",,"Class: Alphaproteobacteria; Order: Rhizobiales; Family: Rhizobiaceae","Naturally occurring and widespread bacterium found in soil and near plant roots","For crop protection applications it is produced by controlled fermentation","Bacteria that cause crown gall infections e.g <i>Agrobacterium tumefaciens</i> & <i>Agrobacterium rhizogenes</i>","Crop production - germinating seeds, stems and roots, cuttings ","Wide variety of crops including top and soft fruit, nuts and ornamentals ","Galltroll A","AgBioChem Inc., USA",,"Agbioresearch Ltd",,,"Canada, New Zealand, China, Australia","Suitable for use in organic farming and for IPM where approved for use in that country"
"1945","Beauveria brongniartii (Saccardo) Petch, isolate IMBST 95.031",,"Class: Ascomycetes; Order: Hypocreales; Family: Clavicipitaceae","A naturally occuring fungal parasite originally isolated from soil infested with cockchafer (<i>Melolontha melolontha</i> L.) larvae","Produced commercially by fermentation","Cockchafer (<i>Melolontha melolontha</i> L.)","Crop protection","Wide range of food and non-food crops","Melocont-Pilzerste","Agrifutur",,,,,"Switzerland, Columbia, Japan","Suitable for use in organic farming and for IPM where approved for use in that country"
"2208","Chilocorus bipustulatus",,"Order: Coleoptera; Family: Coccinellidae","Widely found in Europe, the near East and North Africa.","For commerical applications the beetles are rasied on scale insects under controlled conditions","Mainly scale insects but may also feed on other insects of the Coccidae and Diaspididae familes","Crop protection","Orchard and fruit crops",,,,,,,"Belgium, France, Greece, Israel, Italy, Netherlands, Turkey",
"2209","Chilocorus kuwanae",,"Order: Coleoptera; Family: Coccinellidae","Commonly found throughout China, Korea and Japan and has been introdcued to the USA.","For commerical applications the beetles are rasied on scale insects under controlled conditions","Euonymus scale (<i>Unaspis euonymi</i>) and other scales","Crop protection; interior landscape management","Citrus plantations, interior shrubbery","Chilocorus kuwanae","Praxis",,,,,,
"2210","Chilocorus nigritus",,"Order: Coleoptera; Family: Coccinellidae","Originated from South Asia, now used in Europe.","For commerical applications the beetles are rasied on scale insects under controlled conditions","Armoured scale insects including Red scale (<i>Aonidiella aurantii</i>), Oleander scale (Aspidiotus nerii) and White louse scale (Unaspis citri)","Crop protection","Protected orchard crops","Chilocorus nigritus","Entocare",,,,,"Belgium, Denmark, France, Germany, Netherlands, UK",
